Plot,PNR_Code,Area,Transect,Treatment,latitude,longitude
41,0,southwest,A,F,40.14412,-79.27949
42,1,southwest,A,S,40.14389,-79.27878
43,2,southwest,A,W,40.14352,-79.27795
44,3,southwest,A,F,40.14325,-79.2769
45,4,southwest,B,F,40.14284,-79.2804
46,5,southwest,B,S,40.14291,-79.27964
47,6,southwest,B,W,40.14267,-79.27889
48,7,southwest,B,F,40.14253,-79.27799
49,8,southwest,C,S,40.14187,-79.27998
50,9,southwest,C,F,40.14202,-79.28066
51,10,southwest,C,W,40.14182,-79.27952
52,11,southwest,C,F,40.14174,-79.27862
53,12,northeast,D,S,40.14405,-79.27582
54,13,northeast,D,F,40.14358,-79.2753
55,14,northeast,D,W,40.1443,-79.2763
56,15,northeast,D,F,40.14462,-79.27678
57,16,northeast,E,S,40.1447,-79.27492
58,17,northeast,E,F,40.14429,-79.27442
59,18,northeast,E,W,40.14501,-79.27535
60,19,northeast,E,F,40.14566,-79.27592
61,20,northeast,F,S,40.14538,-79.27411
62,21,northeast,F,F,40.14497,-79.27354
63,22,northeast,F,W,40.1457,-79.27448
64,23,northeast,F,F,40.14631,-79.27496
