Treatment,Plot,PNR_Code,percent_MOISTURE1,percent_MOISTURE2,percent_MOISTURE3,percent_Moisture_Avg,SoilMoisture_Date
F,41,0,60,80,50,63.33333333,2022-06-15
S,42,1,70,60,80,70,2022-06-15
W,43,2,100,100,50,83.33333333,2022-06-15
F,44,3,80,60,90,76.66666667,2022-06-15
F,45,4,50,50,35,45,2022-06-15
S,46,5,60,60,40,53.33333333,2022-06-15
W,47,6,75,65,65,68.33333333,2022-06-15
F,48,7,50,80,80,70,2022-06-15
S,49,8,70,50,80,66.66666667,2022-06-15
F,50,9,50,50,50,50,2022-06-15
W,51,10,35,65,50,50,2022-06-15
F,52,11,50,50,35,45,2022-06-15
S,53,12,50,50,50,50,2022-06-15
F,54,13,40,90,60,63.33333333,2022-06-15
W,55,14,50,50,60,53.33333333,2022-06-15
F,56,15,20,50,35,35,2022-06-15
S,57,16,50,40,60,50,2022-06-15
F,58,17,40,65,35,46.66666667,2022-06-15
W,59,18,30,40,20,30,2022-06-15
F,60,19,70,40,50,53.33333333,2022-06-15
S,61,20,60,50,35,48.33333333,2022-06-15
F,62,21,60,50,60,56.66666667,2022-06-15
W,63,22,65,90,50,68.33333333,2022-06-15
F,64,23,35,50,50,45,2022-06-15
F,41,0,50,50,35,45,2022-06-29
S,42,1,10,50,35,31.66666667,2022-06-29
W,43,2,70,90,90,83.33333333,2022-06-29
F,44,3,35,50,60,48.33333333,2022-06-29
F,45,4,35,35,10,26.66666667,2022-06-29
S,46,5,35,60,60,51.66666667,2022-06-29
W,47,6,10,50,35,31.66666667,2022-06-29
F,48,7,50,70,60,60,2022-06-29
S,49,8,10,50,50,36.66666667,2022-06-29
F,50,9,35,10,10,18.33333333,2022-06-29
W,51,10,15,35,35,28.33333333,2022-06-29
F,52,11,35,50,10,31.66666667,2022-06-29
S,53,12,50,20,10,26.66666667,2022-06-29
F,54,13,30,10,10,16.66666667,2022-06-29
W,55,14,60,50,80,63.33333333,2022-06-29
F,56,15,10,10,10,10,2022-06-29
S,57,16,40,50,50,46.66666667,2022-06-29
F,58,17,40,40,30,36.66666667,2022-06-29
W,59,18,10,10,10,10,2022-06-29
F,60,19,50,50,30,43.33333333,2022-06-29
S,61,20,10,35,50,31.66666667,2022-06-29
F,62,21,35,35,50,40,2022-06-29
W,63,22,10,10,25,15,2022-06-29
F,64,23,60,50,50,53.33333333,2022-06-29
F,41,0,70,35,70,58.33333333,2022-07-13
S,42,1,50,35,50,45,2022-07-13
W,43,2,100,50,75,75,2022-07-13
F,44,3,50,50,75,58.33333333,2022-07-13
F,45,4,30,50,35,38.33333333,2022-07-13
