"","Plot","Treatment","days_active"
"1","41","Forest",112
"2","42","Salvaged",111
"3","43","Windthrow",111
"4","44","Forest",112
"5","45","Forest",96
"6","46","Salvaged",111
"7","47","Windthrow",111
"8","48","Forest",98
"9","49","Salvaged",111
"10","50","Forest",96
"11","51","Windthrow",111
"12","52","Forest",98
"13","53","Salvaged",112
"14","54","Forest",98
"15","55","Windthrow",112
"16","56","Forest",112
"17","57","Salvaged",112
"18","58","Forest",112
"19","59","Windthrow",112
"20","60","Forest",112
"21","61","Salvaged",112
"22","62","Forest",84
"23","63","Windthrow",112
"24","64","Forest",112
