Plot,PNR_Code,Area,Transect,Treatment,latitude,longitude,Elev_ft,Elev_m
41,0,southwest,A,F,40.14412,-79.27949,1635.89,498.62
42,1,southwest,A,S,40.14389,-79.27878,1666.54,507.96
43,2,southwest,A,W,40.14352,-79.27795,1723.16,525.22
44,3,southwest,A,F,40.14325,-79.2769,1767.95,538.87
45,4,southwest,B,F,40.14284,-79.2804,1635.93,498.63
46,5,southwest,B,S,40.14291,-79.27964,1647.8,502.25
47,6,southwest,B,W,40.14267,-79.27889,1662.99,506.88
48,7,southwest,B,F,40.14253,-79.27799,1725.2,525.84
49,8,southwest,C,S,40.14187,-79.27998,1650.89,503.19
50,9,southwest,C,F,40.14202,-79.28066,1637.83,499.21
51,10,southwest,C,W,40.14182,-79.27952,1661.58,506.45
52,11,southwest,C,F,40.14174,-79.27862,1681.66,512.57
53,12,northeast,D,S,40.14405,-79.27582,1754.99,534.92
54,13,northeast,D,F,40.14358,-79.2753,1764.37,537.78
55,14,northeast,D,W,40.1443,-79.2763,1752.85,534.27
56,15,northeast,D,F,40.14462,-79.27678,1736.15,529.18
57,16,northeast,E,S,40.1447,-79.27492,1721.98,524.86
58,17,northeast,E,F,40.14429,-79.27442,1740.52,530.51
59,18,northeast,E,W,40.14501,-79.27535,1710.76,521.44
60,19,northeast,E,F,40.14566,-79.27592,1697.01,517.25
61,20,northeast,F,S,40.14538,-79.27411,1689.99,515.11
62,21,northeast,F,F,40.14497,-79.27354,1722.15,524.91
63,22,northeast,F,W,40.1457,-79.27448,1665.94,507.78
64,23,northeast,F,F,40.14631,-79.27496,1631.69,497.34
