Plot,percent_MOISTURE1,percent_MOISTURE2,percent_MOISTURE3,percent_Moisture_Avg,SoilMoisture_Date
41,60,80,50,63.33333333,2022-06-15
42,70,60,80,70,2022-06-15
43,100,100,50,83.33333333,2022-06-15
44,80,60,90,76.66666667,2022-06-15
45,50,50,35,45,2022-06-15
46,60,60,40,53.33333333,2022-06-15
47,75,65,65,68.33333333,2022-06-15
48,50,80,80,70,2022-06-15
49,70,50,80,66.66666667,2022-06-15
50,50,50,50,50,2022-06-15
51,35,65,50,50,2022-06-15
52,50,50,35,45,2022-06-15
53,50,50,50,50,2022-06-15
54,40,90,60,63.33333333,2022-06-15
55,50,50,60,53.33333333,2022-06-15
56,20,50,35,35,2022-06-15
57,50,40,60,50,2022-06-15
58,40,65,35,46.66666667,2022-06-15
59,30,40,20,30,2022-06-15
60,70,40,50,53.33333333,2022-06-15
61,60,50,35,48.33333333,2022-06-15
62,60,50,60,56.66666667,2022-06-15
63,65,90,50,68.33333333,2022-06-15
64,35,50,50,45,2022-06-15
41,50,50,35,45,2022-06-29
42,10,50,35,31.66666667,2022-06-29
43,70,90,90,83.33333333,2022-06-29
44,35,50,60,48.33333333,2022-06-29
45,35,35,10,26.66666667,2022-06-29
46,35,60,60,51.66666667,2022-06-29
47,10,50,35,31.66666667,2022-06-29
48,50,70,60,60,2022-06-29
49,10,50,50,36.66666667,2022-06-29
50,35,10,10,18.33333333,2022-06-29
51,15,35,35,28.33333333,2022-06-29
52,35,50,10,31.66666667,2022-06-29
53,50,20,10,26.66666667,2022-06-29
54,30,10,10,16.66666667,2022-06-29
55,60,50,80,63.33333333,2022-06-29
56,10,10,10,10,2022-06-29
57,40,50,50,46.66666667,2022-06-29
58,40,40,30,36.66666667,2022-06-29
59,10,10,10,10,2022-06-29
60,50,50,30,43.33333333,2022-06-29
61,10,35,50,31.66666667,2022-06-29
62,35,35,50,40,2022-06-29
63,10,10,25,15,2022-06-29
64,60,50,50,53.33333333,2022-06-29
41,70,35,70,58.33333333,2022-07-13
42,50,35,50,45,2022-07-13
43,100,50,75,75,2022-07-13
44,50,50,75,58.33333333,2022-07-13
45,30,50,35,38.33333333,2022-07-13
46,35,50,50,45,2022-07-13
47,60,35,10,35,2022-07-13
48,100,100,75,91.66666667,2022-07-13
49,70,100,50,73.33333333,2022-07-13
50,50,35,35,40,2022-07-13
51,35,35,35,35,2022-07-13
52,50,50,50,50,2022-07-13
53,35,35,50,40,2022-07-13
54,50,50,35,45,2022-07-13
55,70,100,100,90,2022-07-13
56,35,35,35,35,2022-07-13
57,50,50,50,50,2022-07-13
58,35,35,50,40,2022-07-13
59,50,35,35,40,2022-07-13
60,50,50,50,50,2022-07-13
61,35,35,50,40,2022-07-13
62,50,50,50,50,2022-07-13
63,35,35,50,40,2022-07-13
64,50,50,50,50,2022-07-13
41,50,50,70,56.66666667,2022-07-27
42,90,50,90,76.66666667,2022-07-27
43,100,100,70,90,2022-07-27
44,90,90,70,83.33333333,2022-07-27
45,50,50,50,50,2022-07-27
46,50,50,50,50,2022-07-27
47,35,35,15,28.33333333,2022-07-27
48,70,70,70,70,2022-07-27
49,35,50,50,45,2022-07-27
50,70,50,35,51.66666667,2022-07-27
51,70,50,50,56.66666667,2022-07-27
52,50,15,50,38.33333333,2022-07-27
53,35,50,35,40,2022-07-27
54,35,35,15,28.33333333,2022-07-27
55,80,100,50,76.66666667,2022-07-27
56,35,35,15,28.33333333,2022-07-27
57,70,50,70,63.33333333,2022-07-27
58,35,35,35,35,2022-07-27
59,35,35,50,40,2022-07-27
60,75,35,75,61.66666667,2022-07-27
61,50,70,70,63.33333333,2022-07-27
62,50,50,35,45,2022-07-27
63,40,50,35,41.66666667,2022-07-27
64,60,50,35,48.33333333,2022-07-27
41,30,40,30,33.33333333,2022-08-11
42,40,50,40,43.33333333,2022-08-11
43,35,50,90,58.33333333,2022-08-11
44,55,30,80,55,2022-08-11
45,30,40,20,30,2022-08-11
46,50,30,30,36.66666667,2022-08-11
47,40,40,40,40,2022-08-11
48,50,30,70,50,2022-08-11
49,60,30,60,50,2022-08-11
50,50,30,40,40,2022-08-11
51,40,30,20,30,2022-08-11
52,20,20,20,20,2022-08-11
53,30,30,40,33.33333333,2022-08-11
54,40,20,10,23.33333333,2022-08-11
55,30,30,50,36.66666667,2022-08-11
56,20,20,10,16.66666667,2022-08-11
57,60,60,30,50,2022-08-11
58,25,20,20,21.66666667,2022-08-11
59,40,20,20,26.66666667,2022-08-11
60,40,20,50,36.66666667,2022-08-11
61,40,25,10,25,2022-08-11
62,20,20,25,21.66666667,2022-08-11
63,50,50,50,50,2022-08-11
64,70,40,80,63.33333333,2022-08-11
41,35,35,40,36.66666667,2022-08-23
42,55,30,40,41.66666667,2022-08-23
43,80,70,60,70,2022-08-23
44,60,65,60,61.66666667,2022-08-23
45,30,35,60,41.66666667,2022-08-23
46,60,40,50,50,2022-08-23
47,60,40,50,50,2022-08-23
48,55,50,50,51.66666667,2022-08-23
49,50,60,60,56.66666667,2022-08-23
50,20,60,50,43.33333333,2022-08-23
51,20,30,60,36.66666667,2022-08-23
52,20,40,20,26.66666667,2022-08-23
53,50,30,60,46.66666667,2022-08-23
54,20,30,30,26.66666667,2022-08-23
55,85,50,50,61.66666667,2022-08-23
56,30,35,20,28.33333333,2022-08-23
57,50,45,55,50,2022-08-23
58,60,55,45,53.33333333,2022-08-23
