Treatment,Plot,PNR_Code,Densi-N,E,S,W,Densi Total,Densi_Date
F,41,0,7,8,9,6,7.8,June 1 2022
S,42,1,5,3,10,7,6.5,June 2 2022
W,43,2,9,5,4,5,5.98,June 2 2022
F,44,3,7,10,6,8,8.06,June 1 2022
F,45,4,7,10,8,12,9.62,June 2 2022
S,46,5,8,12,4,9,8.58,June 2 2022
W,47,6,4,21,16,7,12.48,June 2 2022
F,48,7,11,8,9,8,9.36,June 2 2022
S,49,8,78,100,16,87,73.06,June 2 2022
F,50,9,4,9,8,11,8.32,June 2 2022
W,51,10,25,13,8,6,13.52,June 2 2022
F,52,11,7,8,9,10,8.84,June 2 2022
S,53,12,6,7,5,6,6.24,June 1 2022
F,54,13,6,5,3,4,4.68,June 1 2022
W,55,14,9,6,6,10,8.06,June 1 2022
F,56,15,13,12,10,7,10.92,June 1 2022
S,57,16,19,16,20,4,15.34,June 1 2022
F,58,17,9,2,7,5,5.98,June 1 2022
W,59,18,6,6,7,9,7.28,June 1 2022
F,60,19,6,6,5,9,6.76,June 1 2022
S,61,20,6,9,12,5,8.32,June 1 2022
F,62,21,6,6,2,9,5.98,June 1 2022
W,63,22,8,6,8,6,7.28,June 1 2022
F,64,23,6,7,5,5,5.98,June 1 2022
