Treatment,Plot,PNR_Code,Veg1,Veg2,VegAvg,Litter1,Litter2,LitterAvg,BareG1,BareG2,BareGAvg,FWD1,FWD2,FWDAvg,CWD1,CWD2,CWDAvg,Rock1,Rock2,RockAvg,VegHt1,VegHt2,VegHtAvg,Date,Date_yyyy-mm-dd
F,64,23,25,30,27.5,35,60,47.5,5,5,5,5,5,5,25,0,12.5,5,0,2.5,0.25,0.40,0.33,Aug 11 2022,2022-08-11
W,63,22,50,20,35,30,50,40,10,0,5,5,5,5,0,20,10,5,5,5,0.40,0.50,0.45,Aug 11 2022,2022-08-11
F,62,21,40,20,30,40,60,50,5,10,7.5,10,5,7.5,0,0,0,5,5,5,0.50,0.50,0.50,Aug 11 2022,2022-08-11
S,61,20,40,5,22.5,40,65,52.5,0,0,0,10,10,10,0,0,0,10,20,15,0.25,0.20,0.23,Aug 11 2022,2022-08-11
F,60,19,50,25,37.5,40,50,45,0,0,0,5,5,5,0,0,0,5,20,12.5,0.50,0.60,0.55,Aug 11 2022,2022-08-11
W,59,18,10,25,17.5,65,35,50,0,0,0,0,5,2.5,25,10,17.5,0,25,12.5,0.40,0.40,0.40,Aug 11 2022,2022-08-11
F,58,17,80,40,60,20,50,35,0,0,0,0,5,2.5,0,0,0,0,5,2.5,0.25,0.40,0.33,Aug 11 2022,2022-08-11
S,57,16,25,40,32.5,60,50,55,10,0,5,0,0,0,0,0,0,5,10,7.5,0.20,0.50,0.35,Aug 11 2022,2022-08-11
F,56,15,30,25,27.5,50,50,50,0,0,0,20,5,12.5,0,20,10,0,0,0,0.25,0.40,0.33,Aug 11 2022,2022-08-11
W,55,14,50,40,45,40,50,45,0,0,0,10,10,10,0,0,0,0,0,0,0.70,0.50,0.60,Aug 11 2022,2022-08-11
F,54,13,10,20,15,80,45,62.5,0,0,0,10,10,10,0,0,0,0,25,12.5,0.25,0.25,0.25,Aug 11 2022,2022-08-11
S,53,12,30,25,27.5,50,20,35,0,25,12.5,20,15,17.5,0,15,7.5,0,0,0,0.20,0.20,0.20,Aug 11 2022,2022-08-11
F,52,11,40,660,350,50,30,40,0,0,0,5,5,5,0,0,0,5,5,5,0.30,0.30,0.30,Aug 11 2022,2022-08-11
W,51,10,50,50,50,30,45,37.5,0,0,0,20,5,12.5,0,0,0,0,0,0,0.40,0.30,0.35,Aug 11 2022,2022-08-11
F,50,9,20,20,20,70,75,72.5,0,0,0,5,5,5,0,0,0,5,0,2.5,0.20,0.30,0.25,Aug 11 2022,2022-08-11
S,49,8,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,0.80,0.90,Aug 11 2022,2022-08-11
F,48,7,40,50,45,45,40,42.5,0,0,0,10,10,10,0,0,0,5,0,2.5,0.50,0.40,0.45,Aug 11 2022,2022-08-11
W,47,6,70,70,70,20,20,20,0,0,0,0,10,5,5,0,2.5,5,0,2.5,0.50,0.40,0.45,Aug 11 2022,2022-08-11
S,46,5,60,40,50,25,40,32.5,5,5,5,10,15,12.5,0,0,0,0,0,0,0.30,0.30,0.30,Aug 11 2022,2022-08-11
F,45,4,10,5,7.5,65,85,75,5,0,2.5,10,10,10,0,0,0,15,0,7.5,0.30,0.30,0.30,Aug 11 2022,2022-08-11
F,44,3,10,15,12.5,80,75,77.5,0,0,0,10,10,10,0,0,0,0,0,0,0.20,0.30,0.25,Aug 11 2022,2022-08-11
W,43,2,40,5,22.5,55,85,70,0,0,0,5,5,5,0,0,0,0,5,2.5,0.60,0.50,0.55,Aug 11 2022,2022-08-11
S,42,1,15,20,17.5,55,55,55,5,5,5,10,20,15,10,0,5,5,0,2.5,0.30,0.20,0.25,Aug 11 2022,2022-08-11
F,41,0,10,50,30,85,40,62.5,0,0,0,5,5,5,0,0,0,0,5,2.5,0.30,0.40,0.35,Aug 11 2022,2022-08-11
F,64,23,50,20,35,15,25,20,10,0,5,15,25,20,0,20,10,10,5,7.5,0.25,0.30,0.28,July 13 2022,2022-07-13
W,63,22,75,25,50,10,25,17.5,0,40,20,5,0,2.5,0,0,0,10,10,10,0.50,0.30,0.40,July 13 2022,2022-07-13
F,62,21,50,50,50,20,20,20,0,10,5,15,10,12.5,10,0,5,15,10,12.5,0.25,0.25,0.25,July 13 2022,2022-07-13
S,61,20,50,50,50,20,15,17.5,10,25,17.5,10,0,5,0,0,0,10,10,10,0.25,0.50,0.38,July 13 2022,2022-07-13
F,60,19,75,75,75,5,5,5,5,10,7.5,10,0,5,0,0,0,5,10,7.5,0.50,0.25,0.38,July 13 2022,2022-07-13
W,59,18,10,30,20,20,15,17.5,60,50,55,10,5,7.5,0,0,0,0,0,0,0.15,0.25,0.20,July 13 2022,2022-07-13
F,58,17,70,50,60,10,20,15,0,10,5,10,10,10,0,0,0,10,10,10,0.50,0.50,0.50,July 13 2022,2022-07-13
S,57,16,75,50,62.5,5,10,7.5,10,10,10,5,10,7.5,0,0,0,5,20,12.5,0.25,0.25,0.25,July 13 2022,2022-07-13
F,56,15,50,50,50,25,25,25,10,5,7.5,15,20,17.5,0,0,0,0,0,0,0.25,0.25,0.25,July 13 2022,2022-07-13
W,55,14,75,50,62.5,5,25,15,10,10,10,10,15,12.5,0,0,0,0,0,0,0.25,0.25,0.25,July 13 2022,2022-07-13
F,54,13,30,25,27.5,25,15,20,10,15,12.5,5,10,7.5,0,10,5,30,25,27.5,0.25,0.25,0.25,July 13 2022,2022-07-13
