"","species","counts_2015_w","counts_2015_s","counts_2015_f","counts_2022_excluding_last_2_int_w","counts_2022_excluding_last_2_int_s","counts_2022_excluding_last_2_int_f"
"1","Notiophilus_aeneus",1,0,1,0,0,1
"2","Sphaeroderus_canadensis",16,10,9,1,1,5
"3","Sphaeroderus_stenostomus",21,9,46,35,14,33
"4","Scaphinotus_viduus",0,1,0,0,1,0
"5","Scaphinotus_imperfectus",0,0,0,1,1,1
"6","Carabus_goryi",11,4,51,5,4,24
"7","Lophoglossus_scrutator",0,0,0,0,1,0
"8","Pterostichus_mutus",0,1,0,0,0,0
"9","Pterostichus_corvinus",1,5,0,0,0,0
"10","Pterostichus_sayanus",0,0,0,0,0,1
"11","Pterostichus_coracinus",5,3,20,1,5,8
"12","Pterostichus_melanarius",1,0,0,0,0,0
"13","Pterostichus_lachrymosus",12,2,13,16,8,21
"14","Pterostichus_stygicus",0,60,2,4,57,9
"15","Pterostichus_hamiltoni",0,0,0,0,1,0
"16","Pterostichus_moestus",16,107,62,18,7,22
"17","Pterostichus_diligendus",1,0,0,1,0,0
"18","Pterostichus_rostratus",9,11,16,1,2,19
"19","Pterostichus_adoxus",5,8,6,35,19,26
"20","Pterostichus_tristis",3,2,5,9,15,7
"21","Cyclotrachelus_fucatus",3,2,0,0,0,1
"22","Cyclotrachelus_convivus",1,0,0,0,0,0
"23","Cyclotrachelus_sigillatus",8,6,8,20,12,20
"24","Chlaenius_emarginatus",11,120,6,9,12,4
"25","Chlaenius_laticollis",0,2,0,0,0,0
"26","Dicaelus_politus",11,38,5,2,4,7
"27","Dicaelus_teter",17,14,37,1,1,8
"28","Notiobia_nitidipennis",1,5,0,0,0,0
"29","Anisodactylus_harrisii",0,2,0,0,1,0
"30","Anisodactylus_melanopus",0,1,0,0,0,0
"31","Anisodactylus_nigerrimus",0,3,0,0,3,2
"32","Amphasia_interstitialis",0,1,5,0,0,0
"33","Agonoleptus_thoracicus",0,0,0,0,1,0
"34","Harpalus_spadiceus",1,0,0,0,3,8
"35","Trichotichnus_autumnalis",0,1,9,2,0,0
"36","Pseudamara_arenaria",0,2,0,0,0,1
"37","Olisthopus_parmatus",0,2,1,2,0,0
"38","Agonum_ferreum",0,1,0,0,0,0
"39","Agonum_fidele",0,31,0,0,3,0
"40","Agonum_retractum",1,0,0,0,0,0
"41","Platynus_decentis",0,0,0,0,1,0
"42","Platynus_tenuicollis",1,0,2,1,0,4
"43","Platynus_angustatus",0,14,5,6,1,10
"44","Cymindis_limbata",0,0,0,0,0,1
"45","Cymindis_platicollis",0,0,0,1,0,0
"46","Apenes_lucidula",0,0,0,3,2,3
"47","Galerita_bicolor",0,0,0,1,2,0
