"Plot","PNR_Code","Area","Transect","Treatment","latitude","longitude","Elev_ft","Elev_m","mean_moisture","var_moisture","mean_temp","var_temp","n_measurements_soil_moist_2015","n_dates_cover_2015","VegAvg","LitterAvg","BareGAvg","FWDAvg","CWDAvg","RockAvg","VegHtAvg","Densi.Total","Year","n_moisture_2022","Densi.N","E","S","W","Densi_Date","n_dates_cover_2022","canopy_openness"
41,0,"southwest","A","F",40.14412,-79.27949,1635.89,498.62,0.67625,0.0615034194444444,19.3888888888889,3.10740740740741,6,2,31.25,40,5,2.5,3.75,17.5,0.4,7,2015,NA,NA,NA,NA,NA,NA,NA,NA
42,1,"southwest","A","S",40.14389,-79.27878,1666.54,507.96,0.598055555555556,0.0990849074074074,22.7777777777778,46.462962962963,6,2,70,3.75,18.75,4.5,2.5,0.5,0.525,70.5,2015,NA,NA,NA,NA,NA,NA,NA,NA
43,2,"southwest","A","W",40.14352,-79.27795,1723.16,525.22,0.610166666666667,0.109394211111111,19.1666666666667,9.68888888888889,6,2,16.25,57.5,5,2.5,17.5,1.25,0.325,10.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
44,3,"southwest","A","F",40.14325,-79.2769,1767.95,538.87,0.7665,0.0895537666666667,18.8611111111111,8.69351851851852,6,2,5.75,72.5,3.75,10.5,2.5,5,0.1,7.5,2015,NA,NA,NA,NA,NA,NA,NA,NA
45,4,"southwest","B","F",40.14284,-79.2804,1635.93,498.63,0.822833333333333,0.0756603888888889,18,7.02222222222222,6,2,11.25,75,7.5,5,0,1.25,0.275,6.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
46,5,"southwest","B","S",40.14291,-79.27964,1647.8,502.25,0.613777777777778,0.0778985185185185,19.3055555555556,16.4268518518518,6,2,85,1.25,2.5,4.5,1.75,5,0.575,86.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
47,6,"southwest","B","W",40.14267,-79.27889,1662.99,506.88,0.773055555555555,0.0519071296296296,17.9444444444444,12.1962962962963,6,2,77.5,11.25,2.5,5,0,3.75,0.7,21.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
48,7,"southwest","B","F",40.14253,-79.27799,1725.2,525.84,0.567055555555556,0.0902773962962963,17.6944444444444,6.5712962962963,6,2,11.25,67.5,1.25,6.25,16.25,0,0.575,10.7,2015,NA,NA,NA,NA,NA,NA,NA,NA
49,8,"southwest","C","S",40.14187,-79.27998,1650.89,503.19,0.94075,0.0370465972222222,18.6944444444444,6.08240740740741,6,2,65,1.25,5,7.5,8.75,0,0.325,74.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
50,9,"southwest","C","F",40.14202,-79.28066,1637.83,499.21,0.739166666666667,0.0945099444444444,18.1111111111111,6.68518518518519,6,2,33.75,55,0.75,3,7.5,0,0.4,9.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
51,10,"southwest","C","W",40.14182,-79.27952,1661.58,506.45,0.644916666666667,0.0724994638888889,17.8888888888889,3.37407407407407,6,2,58.75,18.75,5,8.75,8.75,0,1.025,7.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
52,11,"southwest","C","F",40.14174,-79.27862,1681.66,512.57,0.594444444444444,0.0884120296296296,18.2222222222222,4.55185185185185,6,2,25,57.5,8.75,8.75,0,0,0.475,10.4,2015,NA,NA,NA,NA,NA,NA,NA,NA
53,12,"northeast","D","S",40.14405,-79.27582,1754.99,534.92,0.474444444444444,0.078922162962963,20.8611111111111,11.4490740740741,6,2,87,1.25,2.5,1.75,7.5,0,0.725,84.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
54,13,"northeast","D","F",40.14358,-79.2753,1764.37,537.78,0.367555555555556,0.0311630962962963,18.5277777777778,7.11574074074074,6,2,21.25,58.75,8.75,5,0,6.25,0.275,9.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
55,14,"northeast","D","W",40.1443,-79.2763,1752.85,534.27,0.475472222222222,0.0843414046296296,19.3611111111111,14.3157407407407,6,2,20,47.5,8.75,7.5,0,3.75,0.475,14.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
56,15,"northeast","D","F",40.14462,-79.27678,1736.15,529.18,0.415083333333333,0.0482172638888889,18.7222222222222,17.9740740740741,6,2,21.25,71.25,1.25,4.5,1.25,0.5,0.3125,11.2,2015,NA,NA,NA,NA,NA,NA,NA,NA
57,16,"northeast","E","S",40.1447,-79.27492,1721.98,524.86,0.550416666666667,0.110989086111111,22.0277777777778,19.5601851851852,6,2,82.5,1.25,7.5,4.25,1.25,3.25,0.6,93.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
58,17,"northeast","E","F",40.14429,-79.27442,1740.52,530.51,0.610472222222222,0.0692348712962963,18.2222222222222,9.27407407407407,6,2,12.5,80,1.25,5,0,1.25,0.3625,9.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
59,18,"northeast","E","W",40.14501,-79.27535,1710.76,521.44,0.568416666666667,0.0859263972222222,19.5,13.4777777777778,6,2,56.25,32.5,6.25,7.5,0,0,0.375,8.8,2015,NA,NA,NA,NA,NA,NA,NA,NA
60,19,"northeast","E","F",40.14566,-79.27592,1697.01,517.25,0.364222222222222,0.0670086962962963,18.9444444444444,17.962962962963,6,2,28.75,60,1.25,5.25,4.75,0,0.375,8.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
61,20,"northeast","F","S",40.14538,-79.27411,1689.99,515.11,0.481722222222222,0.0543041518518519,19.4722222222222,17.3601851851852,6,2,48.75,22.5,8.75,5,8.75,3.75,0.4,85,2015,NA,NA,NA,NA,NA,NA,NA,NA
62,21,"northeast","F","F",40.14497,-79.27354,1722.15,524.91,0.578972222222222,0.0607868268518518,18.2777777777778,8.64074074074074,6,2,22.5,43.75,10,22.5,2.5,0,0.5,10.1,2015,NA,NA,NA,NA,NA,NA,NA,NA
63,24,"northeast","F","W",40.14584,-79.27423,1656.44,504.88,0.507861111111111,0.069973737962963,19.8888888888889,17.0407407407407,6,2,23.75,45,10,6.25,16.25,1.25,0.425,20.3,2015,NA,NA,NA,NA,NA,NA,NA,NA
64,23,"northeast","F","F",40.14631,-79.27496,1631.69,497.34,0.561666666666667,0.0739404444444444,18.5555555555556,11.3296296296296,6,2,35,52.5,5,6.25,0,1.25,0.325,8.6,2015,NA,NA,NA,NA,NA,NA,NA,NA
