"Quadrat","Treatment","Canopy","Veg","Interval","DateSet","DateColl","Agonum ferreum","Agonum fidele","Agonum retractum","Aharrisii","Anisodactylus nigerrimus","Anisodactylus melanopus","Amphasia interstitialis","Carabus goryi","Chlaenius emarginatus","Chlaenius laticollis","Cyclotrachelus convivus","Cyclotrachelus fucatus","Cyclotrachelus sigillatus","Dicaelus politus","Dicaelus teter","Harpalus spadiceus","Notiobia nitidipennis","Notiophilus aeneus","Olisthopus parmatus","Sphaeroderus canadensis","Sphaeroderus lecontei","Scaphinotus viduus","Platynus angustatus","Platynus tenuicollis","Pseudamara arenaria","Pterostichus adoxus","Pterostichus corvinus","Pterostichus diligendus","Pterostichus lachrymosus","Pterostichus melanarius","Pterostichus moestus","Pterostichus mutus","Pterostichus coracinus","Pterostichus stygicus","Pterostichus tristis","Pterostichus rostratus","Trichotichnus autumnalis"
41,"Forest",0,0,1,2015-05-27,2015-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"BS",1,1,1,2015-05-27,2015-06-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"B",1,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,"Forest",0,0,1,2015-05-27,2015-06-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"BS",1,1,1,2015-05-27,2015-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"B",1,0,1,2015-05-27,2015-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Forest",0,0,1,2015-05-27,2015-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,"BS",1,1,1,2015-05-27,2015-06-09,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"B",1,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
52,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
53,"BS",1,1,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,4,0,0,0,0,10,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
54,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"B",1,0,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
56,"Forest",0,0,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"B",1,0,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Forest",0,0,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"BS",1,1,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,"Forest",0,0,1,2015-05-28,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,"BS",1,1,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
62,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Forest",0,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"B",1,0,1,2015-05-27,2015-06-09,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,"Forest",0,0,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42,"BS",1,1,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"B",1,0,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,"Forest",0,0,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45,"Forest",0,0,2,2015-06-10,2015-06-24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,0,4,0,0,0,0
46,"BS",1,1,2,2015-06-10,2015-06-24,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,"B",1,0,2,2015-06-10,2015-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
48,"Forest",0,0,2,2015-06-10,2015-06-24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
49,"BS",1,1,2,2015-06-09,2015-06-24,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
50,"Forest",0,0,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0
51,"B",1,0,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,0,9,0,0,0,2,6,5,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0
52,"Forest",0,0,2,2015-06-09,2015-06-24,0,0,0,0,0,0,0,10,0,0,0,0,0,3,17,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0
53,"BS",1,1,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
54,"Forest",0,0,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"B",1,0,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,"Forest",0,0,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,"B",1,0,2,2015-06-09,2015-06-25,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
