"Plot","PNR_Code","Area","Transect","Treatment","latitude","longitude","Elev_ft","Elev_m","days_active","num_nonmissing_intervals","Agonoleptus_thoracicus","Agonum_ferreum","Agonum_fidele","Agonum_retractum","Amerizus_unknown","Amphasia_interstitialis","Anisodactylus_harrisii","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Chlaenius_laticollis","Cyclotrachelus_convivus","Cyclotrachelus_fucatus","Cyclotrachelus_sigillatus","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Myas_coracinus","Notiobia_nitidipennis","Notiophilus_aeneus","Olisthopus_parmatus","Patrobus_longicornis","Platynus_angustatus","Platynus_decentis","Platynus_hypolithos","Platynus_tenuicollis","Pseudamara_arenaria","Pterostichus_adoxus","Pterostichus_atratus","Pterostichus_coracinus","Pterostichus_corvinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_melanarius","Pterostichus_moestus","Pterostichus_mutus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_andrewsii","Scaphinotus_imperfectus","Scaphinotus_ridingsii","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Synuchus_impunctatus","Trichotichnus_autumnalis","total_count_stdz","species_richness","shannon_diversity","mean_pairwise_distance","open_habitat_spp_stdz","eurytopic_spp_stdz","forest_specialist_spp_stdz","PC1","PC2","PC3","body_length","eye_length_standard","eye_protrusion_ratio","pronotum_width_standard","abdomen_width_standard","rear_leg_length_standard","antenna_rear_leg_ratio","rear_trochanter_length_standard","antenna_length_standard","Water_affinity","Flight_capability"
41,0,"southwest","A","Forest",40.14412,-79.27949,1635.89,498.62,112,8,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0.00892857142857143,0,0,0,0,0.00892857142857143,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0.0267857142857143,0,0.0178571428571429,0,0,0,0.00892857142857143,0,0,0,0.0267857142857143,0,0,0.0178571428571429,0,0,0,0,0,0.0535714285714286,0,0,0.196428571428571,11,8.81744800714276,0.199219568805004,0,0.0982142857142857,0.0982142857142857,0.283456239249335,0.986007953037235,-0.170558372363399,15.7169696969697,0.0444816409921729,1.14261066044542,0.260817160293916,0.357009180210745,0.739965232596374,0.610246759973224,0.0975065607106031,0.453373636022318,0.795454545454545,0.0909090909090909
42,1,"southwest","A","Salvaged",40.14389,-79.27878,1666.54,507.96,111,8,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0,0,0,0.018018018018018,0,0,0,0,0,0.00900900900900901,0,0.00900900900900901,0,0.00900900900900901,0,0,0.00900900900900901,0,0.00900900900900901,0,0,0,0.027027027027027,0,0,0.108108108108108,9,8.12323966013147,0.196021247311423,0,0.036036036036036,0.0720720720720721,-0.133286478832012,0.63513931134384,-0.255693775559524,14.1389444444445,0.04538746938312,1.10466616315842,0.264779399584394,0.355512592767767,0.702222512174657,0.601723726727754,0.0980641272723885,0.424496551529744,0.791666666666667,0.0416666666666667
43,2,"southwest","A","Windthrow",40.14352,-79.27795,1723.16,525.22,111,8,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0.00900900900900901,0,0.036036036036036,0,0,0,0,0.045045045045045,0,0,0,0,0,0.036036036036036,0,0.00900900900900901,0.153153153153153,7,5.51502086031061,0.165024428381144,0,0.0540540540540541,0.0990990990990991,-0.0669251668807038,0.749346997933956,-0.293730349901364,15.5524509803922,0.0468513015861452,1.11097691156082,0.266508296685955,0.356056846742085,0.72503912888323,0.601561256881669,0.101621399066077,0.436982598778517,0.794117647058824,0.0588235294117647
44,3,"southwest","A","Forest",40.14325,-79.2769,1767.95,538.87,112,8,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0.0178571428571429,0,0.0803571428571429,0,0.00892857142857143,0,0,0.0446428571428571,0,0,0,0,0,0.0357142857142857,0,0,0.267857142857143,7,5.40986182439165,0.146989676612201,0,0.125,0.142857142857143,0.289183383747527,1.29709084836543,-0.437502424224115,18.3830555555556,0.0469523646481247,1.13836407921441,0.260709959446327,0.35021218164801,0.756636426264225,0.595775477018448,0.0999700938674237,0.451016107236256,0.75,0
45,4,"southwest","B","Forest",40.14284,-79.2804,1635.93,498.63,111,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018018018018018,0,0,0,0,0,0,0,0,0.045045045045045,0,0,0,0,0.00900900900900901,0,0.036036036036036,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0.00900900900900901,0.027027027027027,0,0,0.153153153153153,7,5.80223309433074,0.173951305793625,0,0.0630630630630631,0.0900900900900901,0.896859029734651,0.622223547633425,-0.491604850627521,15.5268431372549,0.0480098651567492,1.11464197433101,0.253887199111038,0.35981687679035,0.821309945989558,0.630231984735071,0.096018586236967,0.522358093716603,0.823529411764706,0
46,5,"southwest","B","Salvaged",40.14291,-79.27964,1647.8,502.25,111,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0.00900900900900901,0.00900900900900901,0.00900900900900901,0,0,0.045045045045045,0,0.0540540540540541,0,0,0,0.00900900900900901,0,0.018018018018018,0,0,0,0.198198198198198,0.036036036036036,0,0,0,0.00900900900900901,0,0.0540540540540541,0,0,0.477477477477477,12,6.93606384912126,0.11590287690889,0,0.342342342342342,0.135135135135135,-0.404934825458495,0.557026323872731,-0.544297072231035,15.5786163522013,0.04880125667732,1.09167911799016,0.270260688347965,0.348200188747481,0.71408577698926,0.604012904243719,0.108911257044503,0.432439641100315,0.867924528301887,0
47,6,"southwest","B","Windthrow",40.14267,-79.27889,1662.99,506.88,111,8,0,0,0,0,0,0,0,0,0,0.00900900900900901,0.00900900900900901,0.00900900900900901,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0.0720720720720721,0,0,0.00900900900900901,0,0.0990990990990991,0,0.00900900900900901,0,0.00900900900900901,0,0.018018018018018,0,0.045045045045045,0,0,0,0.036036036036036,0.027027027027027,0,0,0,0,0,0.036036036036036,0,0.00900900900900901,0.414414414414414,16,10.75930125619,0.177605978002861,0,0.135135135135135,0.279279279279279,0.154962912382425,0.463065681932272,-0.687816934383482,15.2689275362319,0.0503686189833268,1.09258687917025,0.2565677771298,0.351139179678888,0.764245965629463,0.604409547152776,0.104875747175832,0.466203004235344,0.880434782608696,0.0978260869565217
48,7,"southwest","B","Forest",40.14253,-79.27799,1725.2,525.84,98,7,0,0,0,0,0,0,0,0,0,0,0.122448979591837,0,0,0,0,0,0,0,0,0,0,0.0408163265306122,0,0,0,0.0102040816326531,0,0,0.0102040816326531,0,0,0,0,0.0102040816326531,0,0,0,0,0,0.0306122448979592,0,0.0408163265306122,0,0,0,0,0.0306122448979592,0,0,0,0,0.0102040816326531,0,0,0,0.306122448979592,9,6.15850324131359,0.186135922015212,0,0.163265306122449,0.142857142857143,0.370707647070189,0.996306447169353,-0.256289959267053,18.1358222222222,0.0515042131496156,1.1413193361923,0.262578415896409,0.358134741772537,0.756727599945231,0.58133988029042,0.0964853391221068,0.441490587771912,0.55,0.0333333333333333
49,8,"southwest","C","Salvaged",40.14187,-79.27998,1650.89,503.19,111,8,0,0,0.027027027027027,0,0,0,0.00900900900900901,0.00900900900900901,0.027027027027027,0,0,0.0900900900900901,0,0,0,0.00900900900900901,0,0,0.00900900900900901,0,0.00900900900900901,0,0.00900900900900901,0,0,0,0,0.00900900900900901,0.0720720720720721,0,0,0,0,0.018018018018018,0,0,0,0,0,0,0,0,0,0,0,0.45045045045045,0,0,0,0,0,0,0.00900900900900901,0,0,0.756756756756757,14,4.6417736315004,0.176953684380374,0.036036036036036,0.621621621621622,0.0990990990990991,-0.52090118803018,0.228504090480169,-0.68725749373205,15.0093849206349,0.0520357432752041,1.07039400648692,0.270884972053339,0.348916773155849,0.728630404444118,0.59912034941408,0.113880280072962,0.439220994921598,0.886904761904762,0.244047619047619
50,9,"southwest","C","Forest",40.14202,-79.28066,1637.83,499.21,111,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00900900900900901,0,0,0,0,0,0,0,0,0.036036036036036,0,0,0,0,0.00900900900900901,0,0.027027027027027,0,0,0,0.018018018018018,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0.126126126126126,6,5.32875891791554,0.142366668261593,0,0.0720720720720721,0.0540540540540541,0.319345927029806,0.41922712463809,-0.914613915102551,15.782380952381,0.051194871088567,1.08515212709015,0.254662289631202,0.347430384448873,0.796429831454014,0.61900757401266,0.107981329836025,0.49839625740388,0.785714285714286,0
