"Plot","days_active","PNR_Code","Area","Transect","Treatment","latitude","longitude","num_nonmissing_intervals","Agonoleptus_thoracicus","Agonum_fidele","Amarini_unknown","Amerizus_unknown","Anisodactylus_harrisi","Anisodactylus_melanopus","Anisodactylus_nigerrimus","Apenes_lucidula","Carabus_goryi","Chlaenius_emarginatus","Cyclotrachelus_fucatus","Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed","Cymindis_limbata","Cymindis_platicollis","Dicaelus_politus","Dicaelus_teter","Galerita_bicolor","Harpalus_spadiceus","Lophoglossus_scrutator","Myas_coracinus","Notiophilus_aeneus","Olisthopus_unknown_likely_parmatus","Patrobus_longicornis","Platynus_angustatus","Platynus_hypolithos","Platynus_tenuicollis","Platynus_decentis","Pterostichus_adoxus","Pterostichus_atratus","Pterostichus_coracinus","Pterostichus_diligendus","Pterostichus_hamiltoni","Pterostichus_lachrymosus","Pterostichus_moestus","Pterostichus_rostratus","Pterostichus_sayanus","Pterostichus_stygicus","Pterostichus_tristis","Scaphinotus_andrewsii","Scaphinotus_imperfectus","Scaphinotus_ridingsii","Scaphinotus_viduus","Sphaeroderus_canadensis","Sphaeroderus_stenostomus","Synuchus_impunctatus","Trichotichnus_autumnalis","abundance","abundance_per_day","richness_test","richness","shannon_diversity","simpson_diversity","evenness_test","evenness"
"41",112,0,"southwest","A","Forest",40.14412,-79.27949,8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,3,0,0,2,0,0,0,0,0,8,0,0,24,0.214285714285714,11,11,8.12323966013147,6,0.545454545454545,0.545454545454545
"42",111,1,"southwest","A","Salvaged",40.14389,-79.27878,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,3,0,0,12,0.108108108108108,9,9,8.12323966013147,7.2,0.8,0.8
"43",111,2,"southwest","A","Windthrow",40.14352,-79.27795,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,4,0,1,17,0.153153153153153,7,7,5.51502086031061,4.73770491803279,0.676814988290398,0.676814988290398
"44",112,3,"southwest","A","Forest",40.14325,-79.2769,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10,1,0,0,5,0,0,0,0,0,4,0,0,32,0.285714285714286,7,7,5.25997083007153,4.49122807017544,0.641604010025063,0.641604010025063
"45",96,4,"southwest","B","Forest",40.14284,-79.2804,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,17,0.177083333333333,7,7,5.80223309433074,5.07017543859649,0.724310776942356,0.724310776942356
"46",111,5,"southwest","B","Salvaged",40.14291,-79.27964,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,5,0,6,0,0,1,2,0,0,22,4,0,0,0,1,0,6,0,0,53,0.477477477477477,12,12,6.93606384912126,4.56747967479675,0.380623306233062,0.380623306233062
"47",111,6,"southwest","B","Windthrow",40.14267,-79.27889,8,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,11,0,1,1,0,2,5,0,0,4,3,0,0,0,0,0,4,0,1,46,0.414414414414414,16,16,10.75930125619,8.01515151515152,0.50094696969697,0.50094696969697
"48",98,7,"southwest","B","Forest",40.14253,-79.27799,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,4,0,0,0,3,0,0,0,0,1,0,0,0,30,0.306122448979592,9,9,6.15850324131359,4.54545454545454,0.505050505050505,0.505050505050505
"49",111,8,"southwest","C","Salvaged",40.14187,-79.27998,8,0,3,0,0,1,1,3,0,0,10,0,1,0,0,1,0,1,0,1,0,0,0,1,8,0,0,0,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,0,0,84,0.756756756756757,14,14,4.6417736315004,2.61915367483296,0.187082405345212,0.187082405345212
"50",96,9,"southwest","C","Forest",40.14202,-79.28066,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0.145833333333333,6,6,5.32875891791554,4.9,0.816666666666667,0.816666666666667
