Treatment,Plot,Densi-N,E,S,W,Densi Total,Densi_Date,Veg1,Veg2,Litter1,Litter2,BareG1,BareG2,FWD1,FWD2,CWD1,CWD2,Rock1,Rock2,VegHt1,VegHt2,Date
Light,1,4,6,8,4,5.7,June,25,35,65,50,5,10,5,5,0,0,0,0,0.1,0.1,June
Control,2,6,5,5,4,5.2,June,45,30,50,60,0,0,0,5,0,0,5,5,0.2,0.2,June
Veg,3,10,15,5,3,8.6,June,5,15,85,70,5,2,5,10,0,0,0,3,0.1,0.05,June
Control,4,8,4,3,7,5.7,June,25,30,65,60,0,5,10,5,0,0,0,0,0.1,0.1,June
Veg,5,7,8,9,10,8.8,June,35,25,60,50,0,0,5,25,0,0,0,0,0.2,0.1,June
Light,6,8,12,12,9,10.7,June,15,40,75,45,5,5,5,10,0,0,0,0,0.4,0.4,June
Light+Veg,7,8,15,16,27,17.2,June,20,60,60,20,10,0,10,20,0,0,0,0,0.1,0.6,June
Light+Veg,8,18,10,12,10,13,June,20,45,60,30,10,15,70,10,0,0,3,0,0.1,0.2,June
Veg,9,9,8,6,6,7.5,June,40,20,45,65,2,5,3,5,0,0,10,0,0.1,0.1,June
Light+Veg,10,12,25,22,20,20.5,June,70,20,25,60,2,5,0,15,3,0,0,0,0.2,0.1,June
Control,11,5,4,6,6,5.5,June,65,10,20,65,0,5,15,10,0,0,0,10,0.2,0.05,June
Light+Veg,12,18,17,10,30,19.5,June,30,40,65,45,0,3,5,2,0,0,0,10,0.2,0.3,June
Veg,13,4,6,5,6,5.5,June,15,5,80,75,0,0,5,5,0,15,0,0,0.05,0.05,June
Light,14,6,6,14,18,11.4,June,5,25,75,40,0,5,10,5,10,25,0,0,0.1,0.3,June
Light,15,10,8,11,14,11.2,June,35,30,60,40,0,25,5,5,40,0,0,0,0.5,0.2,June
Veg,16,11,13,6,8,9.9,June,25,15,70,75,0,5,5,5,0,0,0,0,0.1,0.05,June
Light,17,7,14,10,28,15.3,June,65,80,10,20,15,0,0,0,10,0,0,0,0.3,0.5,June
Veg,18,4,6,6,7,6,June,20,35,75,48,0,0,5,2,10,0,0,15,0.1,0.1,June
Control,19,7,5,8,7,7,June,15,30,75,60,0,0,5,5,0,0,5,0,0.1,0.2,June
