Treatment,Plot,SoilTemp1,SoilTemp2,SoilTemp3,SoilMoist1,SoilMoist2,SoilMoist3,Traps Dumped,Interval,Date
Light,1,19,18,19,0.821,0.791,0.698,,1,6/10/2015
Control,2,20,19.5,20,0.647,0.722,0.588,,1,6/10/2015
Veg,3,20,20,20,0.55,0.557,0.61,,1,6/10/2015
Control,4,19,19.5,19,0.682,0.806,0.738,,1,6/10/2015
Veg,5,21,20,21,0.81,0.755,0.737,,1,6/10/2015
Light,6,19,20,19,0.86,0.827,0.797,,1,6/10/2015
Light+Veg,7,19,19.5,19,0.389,0.35,0.321,,1,6/10/2015
Light+Veg,8,20,19.5,20,0.617,0.566,0.598,,1,6/10/2015
Veg,9,19,19.5,19,0.614,0.401,0.556,,1,6/10/2015
Light+Veg,10,20.5,19.5,20.5,0.498,0.615,0.568,,1,6/10/2015
Control,11,19,19,19,0.601,0.635,0.703,,1,6/10/2015
Light+Veg,12,20,19.5,20,0.457,0.569,0.661,,1,6/10/2015
Veg,13,16,16.5,16,0.469,0.407,0.511,,1,6/10/2015
Light,14,18.5,19,18.5,0.732,0.877,0.569,,1,6/10/2015
Light,15,20,19,20,0.601,0.569,0.723,,1,6/10/2015
Veg,16,17.5,17,17.5,0.621,0.509,0.626,,1,6/10/2015
Light,17,17,17.5,17,0.972,0.971,0.974,,1,6/10/2015
Veg,18,18,17.5,18,0.989,0.974,0.867,,1,6/10/2015
Control,19,16,16.5,16,0.87,0.896,0.92,,1,6/10/2015
Light,20,17.5,17,17.5,0.815,0.69,0.819,,1,6/10/2015
Control,25,16.5,16.5,16.5,0.457,0.621,0.709,,1,6/10/2015
Light+Veg,26,17.5,17,17.5,0.931,0.867,0.913,,1,6/10/2015
Control,27,17,16.5,17,0.687,0.701,0.645,,1,6/10/2015
Light+Veg,28,17,17,17,0.879,0.816,0.881,,1,6/10/2015
Control,29,18,18,18,0.494,0.626,0.349,,1,6/10/2015
Control,30,19,18.5,19,0.471,0.524,0.499,,1,6/10/2015
Control,31,18,18.5,18,0.528,0.49,0.469,,1,6/10/2015
Control,32,19,18.5,19,0.609,0.653,0.663,,1,6/10/2015
Control,33,15.5,15,15.5,0.653,0.554,0.661,,1,6/10/2015
Control,34,15.5,15,15.5,0.731,0.654,0.602,,1,6/10/2015
Control,35,15,16,15,0.713,0.703,0.588,,1,6/10/2015
Control,36,16,16,16,0.481,0.362,0.567,,1,6/10/2015
Control,37,16,16.5,16,0.71,0.742,0.606,,1,6/10/2015
Control,38,17,17.5,17,1.057,1.064,1.051,,1,6/10/2015
Control,39,17,18,17,0.678,0.409,0.719,,1,6/10/2015
Control,40,18,17,18,0.578,0.572,0.579,,1,6/10/2015
F,41,18,16.5,18,0.72,0.644,0.657,2 cups dumped,1,6/9/2015
BS,42,20,22.5,20,0.618,0.637,0.647,,1,6/9/2015
B,43,18,18.5,18,0.589,0.564,0.577,,1,6/9/2015
F,44,18,18,18,0.942,0.813,0.981,,1,6/9/2015
F,45,15,15,15,0.938,0.855,0.87,,1,6/10/2015
BS,46,15,15,15,0.84,0.684,0.643,,1,6/10/2015
B,47,15,15,15,0.929,0.843,0.778,,1,6/10/2015
F,48,14.5,14,14.5,0.59,0.593,0.362,,1,6/10/2015
BS,49,22,21,22,1.049,1.004,1.05,,1,6/9/2015
F,50,17.5,17.5,17.5,0.861,0.967,0.956,,1,6/9/2015
B,51,17,17,17,0.892,0.753,0.642,,1,6/9/2015
F,52,17.5,17,17.5,0.736,0.719,0.758,,1,6/9/2015
BS,53,23,22.5,23,0.371,0.374,0.488,,1,6/9/2015
F,54,17,16.5,17,0.602,0.42,0.464,,1,6/9/2015
B,55,17.5,17.5,17.5,0.69,0.555,0.595,,1,6/9/2015
F,56,16,16,16,0.485,0.47,0.477,,1,6/9/2015
B,57,24,21,24,0.929,0.822,0.735,,1,6/9/2015
F,58,16.5,16.5,16.5,0.753,0.579,0.92,,1,6/9/2015
BS,59,19,18.5,19,0.484,0.656,0.53,,1,6/9/2015
F,60,17.5,16.5,17.5,0.33,0.414,0.343,,1,6/9/2015
BS,61,16.5,17.5,16.5,0.526,0.586,0.566,,1,6/9/2015
F,62,16,16,16,0.766,0.597,0.691,,1,6/9/2015
F,64,16.5,16.5,16.5,0.838,0.777,0.377,,1,6/9/2015
B,65,19,18.5,19,0.557,0.588,0.637,,1,6/9/2015
Light,1,22,22,22,0.963,0.965,0.983,,2,6/23/2015
Control,2,21.5,22,21.5,0.719,0.783,0.898,,2,6/23/2015
Veg,3,23,23,23,0.798,0.837,0.811,,2,6/23/2015
Control,4,22,23,22,0.915,0.889,0.87,,2,6/23/2015
Veg,5,22.5,22.5,22.5,0.924,0.988,0.965,,2,6/23/2015
Light,6,22.5,23,22.5,1.071,0.938,1.004,,2,6/23/2015
Light+Veg,7,22.5,22.5,22.5,0.682,0.82,0.555,,2,6/23/2015
Light+Veg,8,21.5,22.5,21.5,0.831,0.736,0.877,,2,6/23/2015
Veg,9,21.5,22.5,21.5,0.776,0.55,0.567,,2,6/23/2015
Light+Veg,10,23,23,23,0.628,0.692,0.664,,2,6/23/2015
Control,11,23,22.5,23,0.808,0.738,0.613,,2,6/23/2015
Light+Veg,12,22.5,22.5,22.5,0.713,0.693,0.68,,2,6/23/2015
Veg,13,18,17.5,18,0.573,0.683,0.755,,2,6/24/2015
Light,14,20,20,20,0.777,0.748,0.876,,2,6/24/2015
Light,15,20,20.5,20,0.589,0.62,0.669,,2,6/24/2015
Veg,16,21,20.5,21,0.806,0.649,0.715,,2,6/24/2015
Light,17,19.5,19,19.5,0.862,0.777,0.764,,2,6/24/2015
Veg,18,22,21,22,0.689,0.944,0.978,,2,6/23/2015
Control,19,22,21,22,0.95,1.026,0.985,,2,6/23/2015
Light,20,17,16.5,17,1.013,1.053,1.043,,2,6/24/2015
Control,25,22,22,22,0.754,0.518,0.712,,2,6/23/2015
Light+Veg,26,23,24,23,0.745,1.001,0.421,,2,6/23/2015
Control,27,23,22.5,23,0.886,0.733,0.678,,2,6/23/2015
Light+Veg,28,23,22.5,23,0.72,0.661,0.904,,2,6/23/2015
Control,29,21,21,21,0.594,0.77,0.698,,2,6/23/2015
Control,30,21,21.5,21,0.694,0.64,0.713,,2,6/23/2015
Control,31,21.5,22,21.5,0.658,0.628,0.409,,2,6/23/2015
Control,32,21.5,21.5,21.5,0.802,0.628,0.604,,2,6/23/2015
Control,33,16,16,16,0.887,0.701,0.557,,2,6/25/2015
Control,34,16.5,16,16.5,0.736,0.739,0.432,,2,6/25/2015
Control,35,16,16,16,0.748,0.781,0.788,,2,6/25/2015
Control,36,16,16,16,0.666,0.472,0.511,,2,6/25/2015
Control,37,21,21,21,0.893,0.944,0.945,,2,6/23/2015
Control,38,21,20.5,21,1.139,1.135,1.128,,2,6/23/2015
Control,39,20.5,20.5,20.5,0.877,0.942,0.73,,2,6/23/2015
Control,40,20,20.5,20,0.95,0.883,0.808,,2,6/23/2015
F,41,20,15,20,0.903,0.763,0.808,,2,6/25/2015
BS,42,16,16,16,0.998,0.961,0.869,,2,6/24/2015
B,43,16,15.5,16,0.978,0.944,0.984,,2,6/24/2015
F,44,16,16,16,1.045,1.079,1.058,,2,6/24/2015
F,45,16,16,16,1.072,1.037,1.043,,2,6/24/2015
BS,46,16,16,16,0.942,0.891,0.68,,2,6/24/2015
B,47,15,15,15,1.047,0.895,0.957,,2,6/24/2015
F,48,16,15.5,16,0.921,0.966,0.839,,2,6/24/2015
BS,49,15,15.5,15,1.117,1.05,1.069,,2,6/24/2015
F,50,15,15,15,0.733,1.019,0.99,,2,6/24/2015
B,51,16,16,16,0.83,0.779,0.823,,2,6/24/2015
F,52,16,15.5,16,0.766,0.828,0.899,,2,6/24/2015
BS,53,16.5,16,16.5,0.698,0.754,0.756,,2,6/25/2015
F,54,16,15.5,16,0.438,0.615,0.539,,2,6/25/2015
B,55,16,15.5,16,0.498,0.742,0.7,,2,6/25/2015
F,56,15.5,15,15.5,0.585,0.573,0.482,,2,6/25/2015
B,57,17,17,17,0.786,0.838,0.63,,2,6/25/2015
F,58,15,15,15,0.725,0.729,0.742,,2,6/25/2015
BS,59,15.5,15,15.5,0.806,0.786,0.752,,2,6/25/2015
F,60,15,15,15,0.426,0.389,0.289,,2,6/25/2015
BS,61,15,15.5,15,0.568,0.549,0.502,,2,6/25/2015
F,62,15,15,15,0.606,0.739,0.703,,2,6/25/2015
F,64,15,15,15,0.718,0.703,0.751,,2,6/25/2015
B,65,15.5,15.5,15.5,0.728,0.613,0.616,,2,6/25/2015
Light,1,21.5,21,21.5,0.981,0.968,0.968,,3,7/7/2015
Control,2,21.5,21,21.5,0.802,0.876,0.876,,3,7/7/2015
Veg,3,22,22,22,0.579,0.73,0.766,,3,7/7/2015
Control,4,22,21,22,0.815,0.885,0.961,,3,7/7/2015
Veg,5,20.5,21,20.5,0.844,0.813,0.914,,3,7/7/2015
Light,6,21,21.5,21,0.983,0.999,1.057,,3,7/7/2015
Light+Veg,7,22,23,22,0.523,0.654,0.616,,3,7/7/2015
Light+Veg,8,21,20.5,21,0.745,0.679,0.791,,3,7/7/2015
Veg,9,21.5,20.5,21.5,0.886,0.947,0.952,,3,7/7/2015
Light+Veg,10,23,23,23,0.926,0.926,0.923,,3,7/7/2015
Control,11,20.5,21.5,20.5,0.568,0.546,1.003,,3,7/7/2015
Light+Veg,12,23,23,23,0.951,0.933,0.98,,3,7/7/2015
Veg,13,20,19,20,0.704,0.657,0.751,,3,7/7/2015
Light,14,21,20,21,0.867,0.824,0.932,,3,7/7/2015
Light,15,22,22,22,0.887,0.878,0.749,,3,7/7/2015
Veg,16,20,21.5,20,0.919,0.808,0.809,,3,7/7/2015
Light,17,19,17,19,1.088,1.077,1.078,,3,7/7/2015
Veg,18,19,20,19,0.866,0.74,0.768,,3,7/7/2015
Control,19,20,19.5,20,0.957,0.941,0.94,,3,7/7/2015
Light,20,19,20,19,0.922,0.92,0.813,,3,7/7/2015
Control,25,19.5,19,19.5,0.766,0.802,0.822,,3,7/7/2015
Light+Veg,26,20.5,20,20.5,0.935,0.676,0.895,,3,7/7/2015
Control,27,19.5,19,19.5,0.573,0.734,0.805,,3,7/7/2015
Light+Veg,28,20,20,20,0.842,0.722,0.576,,3,7/7/2015
Control,29,21,22,21,0.799,0.863,0.866,,3,7/7/2015
Control,30,21,21,21,0.93,0.92,0.951,,3,7/7/2015
Control,31,22,20.5,22,0.891,0.868,0.927,,3,7/7/2015
Control,32,20,20.5,20,1.02,0.965,0.954,,3,7/7/2015
Control,33,20.5,21,20.5,0.838,0.683,0.874,,3,7/7/2015
Control,34,20,20,20,0.604,0.67,0.777,,3,7/7/2015
Control,35,20,20,20,0.813,0.813,0.844,,3,7/7/2015
Control,36,20,20,20,0.812,0.755,0.741,,3,7/7/2015
Control,37,20,20,20,0.922,0.948,0.974,,3,7/7/2015
Control,38,19,20,19,1.127,1.115,1.105,,3,7/7/2015
Control,39,20,21,20,0.894,0.932,0.872,,3,7/7/2015
Control,40,19,19,19,0.838,0.916,0.871,,3,7/7/2015
F,41,18,18.5,18,0.897,0.959,0.942,,3,7/8/2015
BS,42,20,20,20,0.922,1.012,0.94,,3,7/8/2015
B,43,19,19,19,0.963,0.993,0.964,,3,7/8/2015
F,44,18.5,18,18.5,1.006,1.051,1.096,,3,7/8/2015
F,45,18,18.5,18,1.115,1.097,1.067,,3,7/8/2015
BS,46,19,20,19,0.833,0.923,1.027,,3,7/8/2015
B,47,17,17.5,17,1.011,0.916,0.833,,3,7/8/2015
F,48,18.5,18,18.5,0.947,0.885,0.977,,3,7/8/2015
BS,49,19,19,19,1.129,1.042,1.109,,3,7/8/2015
F,50,18.5,18,18.5,1,1.043,1.095,,3,7/8/2015
B,51,17.5,17.5,17.5,0.958,1.001,0.93,,3,7/8/2015
F,52,19,18,19,0.891,0.988,0.984,,3,7/8/2015
BS,53,20,20,20,0.983,0.811,0.926,,3,7/8/2015
F,54,18,18.5,18,0.134,0.823,0.586,,3,7/8/2015
B,55,19,18.5,19,0.977,0.856,0.873,,3,7/8/2015
F,56,18,18,18,0.777,0.777,0.728,,3,7/8/2015
B,57,20,20,20,0.905,1.027,0.947,,3,7/8/2015
F,58,18.5,18.5,18.5,0.971,1.055,0.913,,3,7/8/2015
BS,59,19,18.5,19,1.031,0.998,1.011,,3,7/8/2015
F,60,18.5,18,18.5,0.677,0.905,0.984,,3,7/8/2015
BS,61,19,19.5,19,0.952,0.892,0.56,,3,7/8/2015
F,62,19,19,19,0.945,0.942,0.782,,3,7/8/2015
F,64,19,19,19,1.019,0.85,0.738,,3,7/8/2015
B,65,19,19,19,0.877,0.854,0.855,,3,7/8/2015
Light,1,22,21,22,0.905,0.923,0.857,,4,7/21/2015
Control,2,21.5,21,21.5,0.626,0.515,0.621,,4,7/21/2015
Veg,3,23,22,23,0.668,0.667,0.68,,4,7/21/2015
Control,4,22,21,22,0.95,0.897,0.702,,4,7/21/2015
Veg,5,22.5,21,22.5,0.847,0.781,0.911,,4,7/21/2015
Light,6,22.5,21.5,22.5,0.973,1.012,1.002,,4,7/21/2015
Light+Veg,7,22.5,23,22.5,0.726,0.667,0.747,,4,7/21/2015
Light+Veg,8,21.5,20.5,21.5,0.849,0.924,0.9,,4,7/21/2015
Veg,9,21.5,20.5,21.5,0.78,0.791,0.606,,4,7/21/2015
Light+Veg,10,23,23,23,0.855,0.846,0.793,,4,7/21/2015
Control,11,23,21.5,23,0.758,0.803,0.834,,4,7/21/2015
