"Species","num_indiv","Genus","spp_abbrev","body_length","antenna_length_standard","eye_protrusion_standard","eye_length_standard","pronotum_width_standard","abdomen_width_standard","rear_leg_length_standard","rear_trochanter_length_standard","Forest_affinity","Water_affinity","Flight_capability","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Agonoleptus_thoracicus",1,"Agonoleptus","Ag.th",4.5,0.4,0.06,0.0666666666666667,0.266666666666667,0.377777777777778,0.622222222222222,0.111111111111111,NA,NA,"0",-0.257291105753558,2.65553023640587,0.0913393841323132,-1.38810497693357,0.0669547143374184,0.198337959481924,0.612733331549542,-0.0833890585584112
"Agonum_ferreum",5,"Agonum","Ag.fe",7.44,0.554965248067322,0.0706058874893977,0.0673526676050002,0.240637812034842,0.400042956350902,0.757292280386179,0.0995260691060264,"forest specialist","1","1",-2.91585346402579,2.02399440866475,0.0107710587229714,-0.613175017271466,-0.0882599981543804,-0.208252089205187,0.0807032938712339,-0.252414825790482
"Agonum_fidele",3,"Agonum","Ag.fi",8.7,0.432050707406817,0.0652445092721319,0.0574915230201599,0.256794118913225,0.443987611834092,0.766292641297769,0.107230059788348,"eurytopic","1","1",-1.50217815538308,1.83496477691926,0.779322686000702,0.724571711625341,-0.080600110377731,0.725992151133265,0.0286903331060123,0.68772615662734
"Agonum_retractum",4,"Agonum","Ag.re",7.4625,0.527646980943497,0.0552556290615349,0.0670663311987135,0.222751358174167,0.378663183661823,0.753908978972483,0.0972041219563446,"eurytopic","0.5","0.5",-2.20565518543058,0.979011926654737,0.0973719202112658,-1.6152695996191,-0.321684044113017,0.674334153715256,0.726730078841572,-0.390476375648644
"Amphasia_interstitialis",4,"Amphasia","Am.in",11.1375,0.394257944438569,0.0505830294452875,0.0449181200380542,0.3075592032408,0.366954648239548,0.638045916022346,0.117893306789206,"forest specialist","1","1",1.74433795183252,0.382751316184791,0.217894389249282,0.203180131037335,-0.703429081266143,-0.0742605748414507,-0.371679917163614,-0.0227524232429823
"Anisodactylus_harrisii",6,"Anisodactylus","An.ha",12.8583333333333,0.344951557613995,0.0512707685033294,0.0467548266234994,0.322959208560707,0.361728427288544,0.63313974273016,0.11404729300229,"open habitat","1","1",2.13756063446099,0.447580998043501,0.162292095274377,0.473607883959534,-0.398760839572536,-0.452846642445998,0.22819744678692,0.0602706281785078
"Anisodactylus_melanopus",1,"Anisodactylus","An.me",13.9,0.359712230215827,0.0575539568345324,0.0431654676258993,0.309352517985612,0.37410071942446,0.647482014388489,0.107913669064748,"eurytopic","1","1",1.54135930279392,0.246312616837527,0.447534823549964,0.881868020839153,0.0612905490850884,-0.637931685867575,-0.315052302383426,0.31494957380425
"Anisodactylus_nigerrimus",5,"Anisodactylus","An.ni",10.46,0.324118810210454,0.0526576971994762,0.0470206612794214,0.348275345499065,0.430901071076273,0.641977389187632,0.109052349267983,"open habitat","0","1",1.98623013754204,1.52661444929485,1.49655366715034,1.590208130736,-0.854349221596866,-0.0816257513710047,0.434551866252762,0.262846828972072
"Apenes_lucidula",5,"Apenes","Ap.lu",10.394,0.315649784570356,0.0591090297073582,0.0592637681466425,0.25397778454424,0.379210192981658,0.636143807580048,0.103918407725739,"forest specialist","0.5","0.5",0.293035112161213,1.40726500694782,0.268820344729061,-0.584499110326284,1.12691138266069,0.332559446373324,0.736339628682895,0.471512255697796
"Carabus_goryi",6,"Carabus","Ca.go",24.4,0.473429719564281,0.0554552198321505,0.0462738635215433,0.246107422458061,0.363332170289842,0.836363692018476,0.0750446209230061,"eurytopic","0.5","0",-1.23750798723887,-2.6626196941724,0.223647158018817,1.13205476154324,0.83096076875065,-0.62403398989712,0.723628684721428,-0.0512078283235814
"Chlaenius_emarginatus",6,"Chlaenius","Ch.em",15.2783333333333,0.494925510793014,0.0568408695887315,0.0533259586182179,0.251419638472635,0.345618337625429,0.820876726298994,0.128680893723969,"eurytopic","0.5","1",-0.762250315828594,-0.393897061855441,-1.73602117230421,0.0807298712906667,-0.560063696960916,0.34603532781411,-0.18060014653396,0.171191825376138
"Chlaenius_laticollis",2,"Chlaenius","Ch.la",17.9,0.509032278263048,0.062703108856955,0.0560408252715945,0.259494067186375,0.401388497542344,0.788610250148712,0.129903572211265,"eurytopic","1","1",-1.28398082642146,0.401616725583082,-1.29960643162858,1.42236488342674,-0.129936952272643,0.633173671145232,-0.186364590933479,-0.376764645649028
"Cyclotrachelus_convivus",6,"Cyclotrachelus","Cy.co",16.4666666666667,0.403519772025762,0.0546991394005829,0.0489712062590735,0.285993827382468,0.344729505639599,0.739729204632214,0.139220262523791,"forest specialist","0.5","0",1.03848887036047,-0.0874817961557279,-1.75886471521734,0.679126515152781,-0.386244415829307,0.243402952923938,-0.184299111115744,0.212047224164197
"Cyclotrachelus_fucatus",1,"Cyclotrachelus","Cy.fu",15.75,0.380952380952381,0.0507936507936508,0.0507936507936508,0.266666666666667,0.342857142857143,0.679365079365079,0.126984126984127,"forest specialist","0.5","0",1.12780763553701,-0.216598095893725,-1.14300983183499,-0.0676542146073583,0.199630899579955,0.504467460221407,0.116076232238642,-0.0356094706558624
"Cyclotrachelus_sigillatus",6,"Cyclotrachelus","Cy.si",17.1833333333333,0.389433327645831,0.0529373579003981,0.0480600887709693,0.275544407402952,0.349656596654611,0.699425735772832,0.123450843944444,"eurytopic","0.5","0",1.04005867774147,-0.450821499581606,-0.984259542374085,0.468799028367674,0.166719186153546,0.203218491769383,-0.00715506315975245,0.0342943754845757
"Cymindis_limbata",1,"Cymindis","Cy.li",9.3,0.553763440860215,0.0860215053763441,0.0645161290322581,0.225806451612903,0.43010752688172,0.720430107526882,0.0967741935483871,"forest specialist","0.5","1",-3.67678433333348,2.5886273969052,0.274202948670137,0.343205372346252,1.14762514369024,-0.57289643678509,-0.87507935915462,-0.0479716661024082
"Cymindis_platicollis",1,"Cymindis","Cy.pl",9.3,0.505376344086022,0.0698924731182795,0.0645161290322581,0.241935483870968,0.39247311827957,0.698924731182796,0.10752688172043,"forest specialist","0.5","1",-2.0201469439464,1.93300970419704,-0.261821457721778,-0.440143356045257,0.434785539218168,-0.0625616185129985,-0.118526536724539,-0.292579674204061
"Dicaelus_politus",6,"Dicaelus","Di.po",13.4333333333333,0.482119052273155,0.0510567187949183,0.048966606373427,0.276885978081854,0.344559930525036,0.766151361563342,0.106738266993741,"forest specialist","0.5","0",0.0251456281497044,-0.726109310760046,-0.347903021855737,-0.224932582493576,-0.862706749254029,-0.278061854761472,0.0360437317268588,-0.0342833403439053
"Dicaelus_teter",6,"Dicaelus","Di.te",19.2866666666667,0.479275219352303,0.0503142922279989,0.0441211422326167,0.273415020142966,0.352705365642504,0.789103912015285,0.096484025773294,"forest specialist","0.5","0",-0.0460058491309273,-1.89601159997161,-0.0949656680186963,0.663635376313698,-0.344288775875268,-0.381674971129754,0.152419103290879,-0.148402245795052
"Galerita_bicolor",2,"Galerita","Ga.bi",18.65,0.5914363845711,0.0536845135290731,0.0536845135290731,0.174194012665515,0.356721358664364,0.991853770869315,0.0912636729994243,"eurytopic","0.5","1",-3.57572483998247,-2.63139623867083,-0.856461377570645,-0.411300149683528,-0.10840385170798,0.877528142574806,0.310285792731215,0.458203342226685
"Harpalus_spadiceus",6,"Harpalus","Ha.sp",10.0166666666667,0.321113252475871,0.0536861918921607,0.0502786557759245,0.315409697825363,0.397383580655535,0.565913985880459,0.125187071970003,"forest specialist","0","0",2.16671863377709,1.77400228387897,0.402400811423666,0.543640920734233,-0.123992639837106,0.347053584369591,-0.0324765407275461,-0.0468254565955936
"Lophoglossus_scrutator",1,"Lophoglossus","Lo.sc",15.85,0.410094637223975,0.0630914826498423,0.056782334384858,0.293375394321767,0.34384858044164,0.646687697160883,0.113564668769716,"eurytopic","1","1",0.469958479964894,0.763747520612221,-0.969262999643803,0.256975743682841,0.576465958895006,-0.963531958760401,0.337335389397553,-0.455282983246795
"Notiobia_nitidipennis",6,"Notiobia","No.ni",8.825,0.353948817543011,0.0436389703764599,0.0477239134428576,0.294954957530618,0.371905359249432,0.619529560329359,0.105799715971668,"eurytopic","0.5","1",1.88283360348071,0.372266010193912,0.987314661035499,-0.571115766721257,-0.590531135800653,0.400411108557952,0.300956882436728,0.0678250985337658
"Notiophilus_aeneus",1,"Notiophilus","No.ae",5.4,0.296296296296296,0.194444444444444,0.148148148148148,0.287037037037037,0.333333333333333,0.666666666666667,0.037037037037037,"eurytopic","0.5","1",-9.52719016649264,12.6643548198184,-3.23449891314978,-0.662954140291669,8.01757801290814,-9.69769287302665,4.37642912772913,1.41478959889699
"Olisthopus_parmatus",5,"Olisthopus","Ol.pa",7.7,0.500728167270971,0.0737494046157753,0.0624334745735594,0.296677259802135,0.442657726913431,0.723580838769535,0.132940008507849,"eurytopic","0.5","1",-1.43022400674586,3.35141001057432,-0.384814987838194,1.28244978192,-0.772282484068431,0.12908053542036,-0.531387324998767,-0.098842042191587
"Platynus_angustatus",6,"Platynus","Pl.an",14.225,0.68455974123119,0.0634147084649237,0.0597700936079702,0.218513852904097,0.364998249001118,1.0237933043098,0.0876834823606703,"forest specialist","1","0",-4.50130352119841,-1.2131788149591,-0.755062717739531,-0.21479270997544,-1.25506830200502,-0.441321538289793,0.264872919085099,0.153645214838787
"Platynus_decentis",1,"Platynus","Pl.de",11.2,0.491071428571429,0.0714285714285714,0.0535714285714286,0.258928571428571,0.392857142857143,0.794642857142857,0.0892857142857143,"eurytopic","1","0",-1.98527930737695,0.692525909028693,0.505991726984551,0.393564846450361,0.155707257458699,-0.922899732084627,-0.299316295356631,0.63275791308034
"Platynus_tenuicollis",5,"Platynus","Pl.te",11.44,0.521893092616431,0.0560440544822576,0.048977509915713,0.199545995685564,0.400859270223302,0.70457158231832,0.0770620214410525,"forest specialist","1","1",-1.89749239920986,-0.70629900975461,1.61618465382337,-0.807091783188623,0.678973221846522,0.658101977793633,-0.64700807693886,-0.164497404831211
"Pseudamara_arenaria",2,"Pseudamara","Ps.ar",6.325,0.387659414853713,0.0435733933483371,0.0474493623405851,0.31245311327832,0.387659414853713,0.541947986996749,0.102963240810203,"eurytopic","0.5","0.5",2.12773005562605,1.0172700571988,1.67585400767996,-0.629147731365588,-0.894215903332903,0.222517868490293,-0.0484096534054906,-0.542252326953792
"Pterostichus_adoxus",6,"Pterostichus","Pt.ad",16.2083333333333,0.382062583121238,0.0514163833981122,0.0478331667067009,0.260317330024244,0.325119205622426,0.696611877179728,0.109613024770716,"forest specialist","1","0",0.93396592307546,-0.956631086400373,-0.711404012122934,-0.398481637795217,0.453260283107166,-0.115024738897029,0.154300569935308,0.205297882181546
"Pterostichus_coracinus",6,"Pterostichus","Pt.co",16.1916666666667,0.43612512963329,0.0539533265056241,0.0488303748609347,0.265942275386945,0.34105503267498,0.711734798310013,0.122854055625662,"eurytopic","0.5","0",0.542418392493653,-0.519532986939477,-1.13203136197912,0.0915354827385915,-0.0119563577910248,0.113120899202335,-0.257208768991419,-0.0992156738671185
"Pterostichus_corvinus",4,"Pterostichus","Pt.co",13.625,0.351428794329403,0.0579752059975184,0.052401733239715,0.286586617405583,0.361498153638113,0.619299079048065,0.111070369792479,"eurytopic","1","1",1.12656405193858,0.745007862232783,-0.140524619404109,0.103864116016774,0.636103242480634,-0.312956193988685,0.227739664573199,-0.00514721669206477
"Pterostichus_diligendus",1,"Pterostichus","Pt.di",13.5,0.392592592592593,0.0518518518518519,0.0481481481481481,0.259259259259259,0.325925925925926,0.655555555555556,0.125925925925926,"forest specialist","1","0",1.2253679127012,-0.255217612798845,-1.08824728086872,-0.670756223394421,0.193075651143742,0.282010329432835,-0.420232795802675,0.0935817559312912
