Species,Sex,Number_out_of_3,Unique_ID,Elytra_length,Abdomen_width,Pronotum_length,Pronotum_width,Head_length,Outer_eye_distance,Inner_eye_distance,Antenna_length,Eye_length,Rear_trochanter_length,Rear_femur_length,Rear_tibia_length,Rear_tarsi_length,Traits_notes
Agonoleptus_thoracicus,f,1,819611,2.5,1.7,1,1.2,1,1.3,0.5,1.8,0.3,0.5,1,1,0.8,"Another source used: Bousquet, Yves, and Peter Messer. “Redescription of Stenolophus Thoracicus Casey (Coleoptera, Carabidae, Harpalini), a Valid Species.” ZooKeys 53 (August 27, 2010): 25–31. https://doi.org/10.3897/zookeys.53.470."
Agonum_fidele,f,1,819619,4.9,3.6,1.8,2.2,1.8,1.5,0.9,3.3,0.5,0.9,2.3,2.3,2,
Agonum_fidele,f,2,819616,4.9,3.7,1.8,2.3,2,1.5,0.9,3.5,0.5,0.9,2.2,2.3,2,
Agonum_fidele,f,3,819613,5,4.3,1.9,2.2,2,1.5,1,4.5,0.5,1,2.5,2.2,2.2,
Amarini_unknown,f,1,819605,3.5,2.5,1.4,2,1.3,1.4,1.1,2.5,0.3,0.7,1.3,1.3,0.9,
Amerizus_unknown,m,1,819614,3.3,2,1.1,1.3,1.1,1.1,0.7,2.7,0.3,0.5,1.2,1.2,1,
Anisodactylus_melanopus,m,1,819699,7.7,5.2,3,4.3,3.2,2.8,2,5,0.6,1.5,3.2,3.3,2.5,
Anisodactylus_nigerrimus,m,1,819634,5.8,4.2,2.3,3.5,2.9,2.3,1.8,2.8,0.4,1,2.1,2.6,2,
Anisodactylus_nigerrimus,m,2,819631,6.1,4.5,2.5,3.8,1.8,2.4,1.7,3.6,0.6,1.2,2.1,2.5,2.1,
Anisodactylus_nigerrimus,m,3,819628,6.1,4.7,2.4,3.7,2,2.8,1.8,3.5,0.5,1.2,2.9,2.7,2.2,
Anisodactylus_nigerrimus,f,1,819625,5.6,4.4,2.3,3.4,1.9,2.2,1.7,3.4,0.5,1,1.7,2.4,1.6,
Anisodactylus_nigerrimus,f,2,819622,6.3,4.7,2.3,3.8,2,2.9,1.8,3.6,0.5,1.3,2.5,2.3,1.9,
Apenes_lucidula,m,1,819706,6,3.9,1.95,2.62,2.45,2.07,1.4,3.5,0.63,1.1,2.55,2.2,2,Elytra were separated so abdomen width was calculated by multiplying the width of one elyton by two
Apenes_lucidula,m,2,819715,5.9,3.8,1.92,2.6,2.3,2.05,1.45,3.1,0.65,1.1,2.5,2.15,2,
Apenes_lucidula,f,1,819707,6.1,4,2.1,2.75,2.6,2.2,1.6,3.4,0.65,1.1,2.6,2.2,1.95,
Apenes_lucidula,f,2,819716,5.75,4,1.85,2.53,2.5,2,1.4,3.3,0.55,1,2.45,1.9,2,
Apenes_lucidula,f,3,819724,5.85,4,1.9,2.7,2.8,2.1,1.5,3.1,0.6,1.1,2.45,2.1,2,
Carabus_goryi,m,1,819636,15.2,9.2,4.3,6.5,6.5,4.1,2.7,12,1.3,2,7.7,7.6,8.2,
Carabus_goryi,m,2,819639,14,8,3.9,5.4,4.6,3.6,2.3,13,1,1.6,6.6,7,7,
Carabus_goryi,m,3,819642,13.8,8.6,4.2,5.9,5,3.5,2.3,11,1.1,1.8,6.5,6.3,6,
Carabus_goryi,f,1,819645,16.9,9.2,4.2,6.4,6.1,4,2.6,8.6,1.4,2,6.5,5.3,6.8,
Carabus_goryi,f,2,819648,14.9,8.6,3.9,5.8,4.5,3.9,2.5,12,1,1.5,6,6.5,7,
Carabus_goryi,f,3,819651,14.5,9.5,4.4,6,5.5,4,2.6,12,1,2.1,6,6.6,8.4,
Chlaenius_emarginatus,m,1,819704,8.37,5.3,3.2,4,4.1,2.62,1.78,7.7,0.82,2,4.25,4.3,4.4,
Chlaenius_emarginatus,m,2,819713,7.5,4.8,2.95,3.6,3.6,2.35,1.55,6.7,0.75,1.9,4.05,3.8,3.95,
Chlaenius_emarginatus,m,3,819722,8.6,5.7,3.4,4.1,4.3,2.7,1.7,8.5,0.9,2.2,4.5,4.65,4.8,
Chlaenius_emarginatus,f,1,819705,8.5,5.8,3.3,4.05,4.3,2.75,1.87,7.65,0.87,2,4.25,4.3,4.5,
Chlaenius_emarginatus,f,2,819714,8.3,5.25,3.3,3.85,3.9,2.62,1.75,7.85,0.8,2,4.2,4.05,4.3,
Chlaenius_emarginatus,f,3,819723,7.4,4.85,2.9,3.45,3.75,2.42,1.6,7,0.75,1.7,3.8,3.5,3.7,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,m,1,819753,9.2,5.75,3.4,4.6,4.5,3.35,2.5,7.1,0.8,2.2,4.3,4.4,3.9,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,m,2,819763,8.8,5.7,3.45,4.5,3.6,3.3,2.4,6.8,0.8,2.1,4,3.9,3.8,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,m,3,819773,9,5.6,3.5,4.5,4.1,3.3,2.4,7.1,0.8,2.1,4.1,4.3,3.9,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,f,1,819754,9.7,6.6,3.6,5,4.4,3.7,2.7,6.3,0.9,2.2,4,4.1,3.6,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,f,2,819764,9.5,6.1,3.4,4.8,5.1,3.5,2.6,5.9,0.8,2,4.1,4,3.4,
Cyclotrachelus_unknown_likely_sigillatus_or_convivus_or_mixed,f,3,819774,9.65,6.3,3.6,5,4.6,3.6,2.7,6.8,0.85,2.1,4.25,4.2,3.7,
Cymindis_limbata,unknown_sex,1,819617,5.5,4,1.8,2.1,2,1.8,1,5.5,0.6,0.9,2.4,2.3,2,
Dicaelus_politus,m,1,819708,7,4.37,2.8,3.4,2.9,2.2,1.5,6.3,0.6,1.4,3.55,3.5,3.1,
Dicaelus_politus,m,2,819717,7.1,4.5,3,3.65,3,2.35,1.6,6.5,0.6,1.45,3.67,3.6,3.2,
Dicaelus_politus,m,3,819725,7.55,4.85,3.3,4.08,3.35,2.6,1.85,7.05,0.7,1.55,3.9,3.7,3.5,
Dicaelus_politus,f,1,819709,7.4,4.5,2.95,3.7,3.2,2.3,1.7,6.2,0.7,1.4,3.6,3.4,2.9,
Dicaelus_politus,f,2,819718,7.3,4.75,3,3.8,3.15,2.45,1.78,6.4,0.65,1.4,3.7,3.4,2.9,
Dicaelus_politus,f,3,819726,7.5,4.8,2.9,3.7,3.2,2.39,1.75,6.4,0.7,1.4,3.55,3.45,3.1,
Dicaelus_teter,m,1,819604,10.8,6.75,3.85,5.4,4.65,3.6,2.7,9.7,0.85,2.05,5.5,5.4,5,
Dicaelus_teter,m,2,819719,10.1,6.4,3.4,5,4.5,3.5,2.55,9.1,0.8,1.8,5,4.4,missing,both rear tarsi had broken ends
Dicaelus_teter,m,3,819727,10.6,6.4,3.55,5,4.8,3.5,2.4,9.1,0.8,1.8,5.2,5.1,4.5,
Dicaelus_teter,f,1,819710,10.1,6.6,3.47,5.02,4.45,3.55,2.6,9,0.85,1.7,4.9,5,4.5,
Dicaelus_teter,f,2,819720,11.6,7.25,3.75,5.5,5.5,4,3.1,9.2,0.9,1.9,5.3,5.7,5.15,
Dicaelus_teter,f,3,819728,11.2,7.4,3.7,5.7,5.7,4.05,3.05,9.2,0.9,1.9,5.3,5.4,5.1,
Galerita_bicolor,f,1,819640,10.5,6.6,2.8,2.9,3.8,2.1,1.5,9.1,1,1.3,5.5,8,3.1,
Galerita_bicolor,f,2,819637,11.2,7.6,3.5,3.4,4.3,2.8,1.8,12,1,1.7,6.5,6.5,6.2,
Harpalus_spadiceus,m,1,819658,5.6,3.7,2.3,3.3,1.9,2.4,2,3.1,0.5,1.4,2.3,2.3,1.6,
Harpalus_spadiceus,m,2,819655,5,3.7,2,2.7,1.9,2.2,1.5,3.3,0.5,1.1,2.1,2.1,1.6,
Harpalus_spadiceus,m,3,819652,5.2,4.1,2.2,3.1,2.4,2.2,1.7,3.5,0.5,1.2,2.2,1.6,1.2,
Harpalus_spadiceus,f,1,819649,5.7,4.1,2.5,3.3,2.9,2.6,1.9,3.5,0.5,1.3,2.3,2.3,0.7,
Harpalus_spadiceus,f,2,819646,5.6,3.9,2.2,3.2,1.5,2.3,2,2.7,0.5,1.2,2.1,2.1,1.1,
Harpalus_spadiceus,f,3,819643,5.7,4.3,2.5,3.3,3,2.5,2,3.1,0.5,1.3,2.1,2.4,1.7,
Myas_coracinus,m,1,819733,8.2,5.6,3.6,5.26,2.6,2.97,2.1,5.3,0.75,1.8,3.4,3.6,3.3,
Myas_coracinus,f,1,819734,8.6,6.1,3.7,5.4,3.1,3.03,2.16,4.9,0.7,1.8,3.3,3.6,3.15,
Notiophilus_aeneus,m,1,819608,3.2,1.8,1,1.5,1.1,1.7,0.6,1.5,0.9,0.3,1.3,1.2,1,
Olisthopus_unknown_likely_parmatus,f,1,819630,4.6,3.5,1.6,2.4,1.1,1.5,0.8,3.6,0.5,1.1,2,2.1,1.6,
Olisthopus_unknown_likely_parmatus,f,2,819633,4.7,3.4,1.6,2.2,1.2,1.4,0.8,3.5,0.4,1,2.1,2,1.2,
Patrobus_longicornis,f,1,819693,8,5,2.7,3.4,3,2.7,1.5,6.2,0.9,1.3,3.3,3.5,3,
Platynus_angustatus,m,1,819612,7.7,5,3,2.8,4,2.3,1.4,8.9,0.3,1.3,5,5,4.5,
Platynus_angustatus,m,2,819615,7.5,4.7,2.6,2.9,2.2,2.2,1.4,10,0.7,1.3,4.9,4.9,4.6,
Platynus_angustatus,m,3,819618,7.5,4.6,2.8,2.9,3,2.3,1.4,7.5,0.8,1.3,4.8,4.7,4.7,
Platynus_angustatus,f,1,819621,8.4,5.4,3,3.4,3.9,2.5,1.5,9,0.9,1.1,5.2,5.2,4.5,
Platynus_angustatus,f,2,819624,8.1,5.5,2.9,3.1,4,2.3,1.3,10,0.8,1.2,5.1,5,4.5,
Platynus_angustatus,f,3,819627,8.6,5.6,3,3.3,3.8,2.4,1.5,9.1,1,1.2,5.2,4.5,4.5,
Platynus_hypolithos,m,1,819690,9.1,5.9,3.3,3.3,3.5,2.5,1.4,9.5,0.9,1.5,5,4.5,4.6,
Platynus_tenuicollis,m,1,819610,7.2,4.5,1.9,2.3,2.1,1.7,1,5.7,0.5,0.8,1,3.3,2.6,
Platynus_tenuicollis,m,2,819607,6.9,4.9,1.9,2.3,2.5,1.6,0.9,6,0.7,1,2.6,2.7,2.3,
Platynus_tenuicollis,f,1,819603,7.5,4.8,1.9,2.3,2.3,1.7,1,6.2,0.6,0.7,3,3.1,2.2,
Platynus_tenuicollis,f,2,819606,7.2,4.7,1.9,2.4,2.1,1.7,1.1,5,0.5,1,3.3,3.4,2.5,
Platynus_tenuicollis,f,3,819609,7,4,2,2.1,2.8,1.6,1.1,7,0.5,0.9,3.1,2.9,2.3,
Platynus_decentis,m,1,819687,6.5,4.4,2.3,2.9,2.4,2.1,1.3,5.5,0.6,1,3,2.9,3,Larochelle and Lariviere say it is submacropterous and likely incapable of flight
Pterostichus_adoxus,m,1,819749,8.2,5.05,3.8,4.1,4.05,2.85,2,6.3,0.8,1.9,4,4,3.4,
Pterostichus_adoxus,m,2,819759,7.9,5.05,3.7,4.15,3.75,2.75,2,6.3,0.7,1.8,4,4.1,3.3,
Pterostichus_adoxus,m,3,819769,8.3,5.35,3.9,4.2,4.3,3,2.05,6.6,0.8,1.8,4.2,4.1,3.55,
Pterostichus_adoxus,f,1,819750,9.1,5.65,4,4.5,4.5,3.05,2.2,6.2,0.8,1.9,4.15,3.95,3.25,
Pterostichus_adoxus,f,2,819760,8.1,5.1,3.7,4.3,4.3,2.9,2.1,5.85,0.8,1.5,3.95,3.8,3.3,
Pterostichus_adoxus,f,3,819770,8,5.4,3.6,4.05,4.05,2.8,2,5.85,0.75,1.75,3.9,3.7,3,
Pterostichus_atratus,m,1,819735,8.4,5.8,3.6,4.85,3.7,2.7,1.9,6.4,0.75,2.05,3.8,3.7,3.45,Elytra were separated so abdomen width was calculated by multiplying the width of one elyton by two
Pterostichus_atratus,f,1,819736,8.2,6,3.6,4.75,3.6,2.7,1.85,5.9,0.75,2,3.6,3.5,3.3,
Pterostichus_coracinus,m,1,819751,8.65,5.7,3.5,4.6,5,3.5,2.55,8.4,0.9,2.2,4.7,4.5,4.3,
Pterostichus_coracinus,m,2,819761,8.5,5.4,3.9,4.3,4,3.2,2.2,6.6,0.8,2.2,4.2,4.2,3.5,
Pterostichus_coracinus,m,3,819771,8.6,5.6,3.8,4.55,4.1,3.2,2.3,7.55,0.8,2,4.05,4.2,3.6,
Pterostichus_coracinus,f,1,819752,8,5.4,3.3,3.9,3.9,2.85,2.1,6.4,0.7,1.8,3.8,3.8,3.1,
Pterostichus_coracinus,f,2,819762,8.8,5.6,3.6,4.4,4.1,3.05,2.2,7.1,0.8,1.95,3.95,3.85,3.2,
Pterostichus_coracinus,f,3,819772,8.1,5.4,3.2,4.1,4.1,2.9,2.1,6.4,0.75,1.8,3.7,3.7,2.9,
Pterostichus_lachrymosus,m,1,819682,8.1,5.4,3.5,4.15,3.9,3,2.2,7.2,0.7,1.9,4.05,4,3.6,
Pterostichus_lachrymosus,m,2,819679,7.8,5.4,3.3,4.1,4.1,2.95,2.2,7.1,0.7,1.7,3.9,4,3.6,
Pterostichus_lachrymosus,m,3,819676,8.1,5.4,3.3,4.2,4.4,3,2.25,7.7,0.65,2,4.1,4.1,3.9,
Pterostichus_lachrymosus,f,1,819673,9,6.15,3.7,4.45,4.9,3.2,2.4,6.8,0.7,2,4.1,4.1,3.4,
Pterostichus_lachrymosus,f,2,819670,8.8,6,3.5,4.3,4.6,3.15,2.4,7,0.7,1.9,4.1,4.1,3.6,
Pterostichus_lachrymosus,f,3,819667,9.4,6.1,3.7,4.5,4.7,3.35,2.45,7.2,0.8,2,4.4,4.1,3.5,
Pterostichus_moestus,m,1,819737,9.1,5.8,3.6,4.65,5.7,3.7,2.65,8.7,0.9,2.3,4.7,4.7,4.5,
Pterostichus_moestus,m,2,819741,8.8,5.45,3.35,4.5,5.2,3.5,2.55,8,0.9,2.1,4.6,4.2,4,
Pterostichus_moestus,m,3,819745,9.35,5.95,3.5,4.9,5.4,3.85,2.8,8.6,1,2.3,5,4.8,4.45,
Pterostichus_moestus,f,1,819738,9.6,6.6,3.95,5.2,5.7,4.15,3,8.6,1.1,2.3,5.1,4.9,4.4,
Pterostichus_moestus,f,2,819742,9.1,6.7,3.8,5.2,6,4.1,3,8.8,0.9,2.3,4.9,4.6,4.3,
Pterostichus_moestus,f,3,819746,8.8,5.7,3.3,4.6,5.2,3.6,2.6,7.4,0.85,2.1,4.3,4.2,3.5,
Pterostichus_rostratus,m,1,819729,7.65,4.8,3.3,3.9,4.5,3.2,2.5,5.8,0.55,1.72,3.5,3.4,2.6,I notice that in P. rostratus - the region between the pronotum and elytra is elongated just as in Scarites
Pterostichus_rostratus,m,2,819739,8.7,5.3,3.8,4.5,5.5,3.7,3,6.4,0.6,1.9,4,3.9,3.1,
Pterostichus_rostratus,m,3,819743,8.1,5.4,3.75,4.45,5.6,3.8,3.05,6.7,0.62,1.9,4,3.85,3.1,
Pterostichus_rostratus,f,1,819730,8.7,5,3.5,4.2,4.9,3.4,2.75,5.7,0.6,1.8,3.75,3.6,2.8,
Pterostichus_rostratus,f,2,819740,8.8,5.1,3.6,4.35,5.7,3.45,2.75,6.3,0.6,1.85,3.85,3.7,2.8,
Pterostichus_rostratus,f,3,819744,8.5,4.92,3.5,4,4.65,3.3,2.6,5.7,0.55,1.7,3.65,3.6,2.6,
Pterostichus_sayanus,m,1,819731,5.8,3.35,2.3,3,2.9,2.1,1.57,4,0.54,1.28,2.3,2.4,1.9,
Pterostichus_sayanus,f,1,819732,6,3.8,2.42,3.3,3.1,2.25,1.75,4.1,0.52,1.3,2.45,2.3,1.8,
Pterostichus_stygicus,m,1,819755,7.8,4.2,3.4,4.2,3.8,2.8,2.05,6.5,0.75,1.9,3.9,3.6,3.1,
Pterostichus_stygicus,m,2,819765,8.2,5.2,3.5,4.3,3.6,2.9,2.1,6.5,0.75,1.9,3.7,3.7,3.2,
Pterostichus_stygicus,m,3,819775,7.6,5,3.4,4.15,3.9,2.9,2,6.1,0.8,1.85,3.5,3.6,3,
Pterostichus_stygicus,f,1,819756,8.7,5.7,3.5,4.6,4.5,3.2,2.3,6.4,0.85,1.8,3.8,3.8,3.1,
Pterostichus_stygicus,f,2,819766,8.4,5.8,3.6,4.65,4.2,3.1,2.2,6.1,0.85,1.8,3.6,3.7,3.1,
Pterostichus_stygicus,f,3,819776,8.8,5.7,3.6,4.4,3.6,3,2.2,5.8,0.8,1.8,3.7,3.7,2.8,
Pterostichus_tristis,m,1,819747,7.45,4.5,3.25,3.6,3.5,2.5,1.8,6.2,0.7,1.6,3.5,3.5,2.7,
Pterostichus_tristis,m,2,819757,6.4,4.4,3,3.4,2.7,2.35,1.65,5.5,0.65,1.4,3.2,3.2,2.7,
Pterostichus_tristis,m,3,819767,7.2,4.6,3.2,3.5,3.3,2.6,1.8,5.6,0.8,1.6,3.5,3.4,3,
Pterostichus_tristis,f,1,819748,7.3,4.7,3.2,3.7,3.4,2.5,1.8,5.5,0.65,1.5,3.45,3.3,2.65,
Pterostichus_tristis,f,2,819758,7.4,5,3.25,3.7,3.5,2.6,1.9,5.5,0.7,1.65,3.6,3.5,3,
Pterostichus_tristis,f,3,819768,7.1,4.2,3,3.4,2.95,2.4,1.7,4.9,0.7,1.4,3.2,3.1,2.3,
Scaphinotus_andrewsii,m,1,819660,13,8.7,4.2,4.4,7.1,2.8,1.6,11.5,1,1.4,7.3,7.5,6.2,Some subspecies are listed as moderately moist soil while others are listed as moist soil
Scaphinotus_andrewsii,f,1,819663,14.5,9.7,4.4,4.5,5.8,2.8,1.7,14,1,1.6,7.2,7.2,5.7,
Scaphinotus_imperfectus,m,1,819672,4,2.5,1.7,1.7,1.9,1.1,0.6,4,0.5,0.6,2.2,2.1,1.5,
Scaphinotus_imperfectus,m,2,819675,4,2.5,1.6,1.8,1.8,1.2,0.6,2.5,0.4,0.5,1.5,1.7,1.2,
Scaphinotus_imperfectus,m,3,819678,4,2.3,1.5,1.5,1.4,1,0.5,4.5,0.4,0.3,1.9,2,1.6,
Scaphinotus_imperfectus,f,1,819681,4,2.2,1.5,1.5,1.3,1,0.3,4.5,0.5,0.5,2,1.5,1.2,
Scaphinotus_imperfectus,f,2,819684,4.3,2.5,1.5,1.8,2.7,1,0.6,3.5,0.4,0.5,2.1,2.1,1.3,
Scaphinotus_ridingsii,m,1,819666,9.4,6.5,3.2,3.6,3.5,2.1,1.2,8.5,0.7,1.1,5,5.5,4.2,One subspecies is listed as moist soil while the other moderately moist
Scaphinotus_ridingsii,m,2,819669,9,6.4,2.9,3.5,3.7,2,1.1,9.1,0.7,1.1,5.4,5,4,
Scaphinotus_viduus,m,1,819654,17,13.4,4.7,6.2,5.5,3.2,1.7,12,1.1,1.5,7.8,8.5,7.4,
Scaphinotus_viduus,m,2,819657,16,11,4.6,6.3,5,3.2,1.7,13,1.1,2,8,6.5,3,
Sphaeroderus_canadensis,m,1,819702,7,5,2.75,3.45,3.13,1.8,1.28,7.34,0.51,1.01,3.7,3.95,2.75,
Sphaeroderus_canadensis,m,2,819711,6.8,4.8,2.6,3.33,2.86,1.78,1.19,6.75,0.53,1.06,3.8,4,2.55,
Sphaeroderus_canadensis,f,1,819703,6.6,4.7,2.6,3.2,2.9,1.73,1.2,6.7,0.53,1,3.3,3.5,2.6,
Sphaeroderus_canadensis,f,2,819712,6.8,4.7,2.7,3.2,2.7,1.8,1.2,6.5,0.5,1,3.6,3.5,2.3,
Sphaeroderus_canadensis,f,3,819721,7.1,5,2.85,3.3,2.9,1.8,1.25,6.6,0.53,0.97,3.65,3.7,2.6,
Sphaeroderus_stenostomus,m,1,819700,7.8,5.75,3.1,4.1,3.4,2,1.35,7.4,0.55,1.1,3.8,4.35,3.3,One subspecies has moist soil and the other has dry soil. One is both forest and open - the other is just forest
Sphaeroderus_stenostomus,m,2,819697,7.8,5.7,3.25,4,3.3,1.9,1.3,7.45,0.5,1,3.9,4.4,3.3,
Sphaeroderus_stenostomus,m,3,819694,8,5.8,3,4,3.2,1.95,1.35,6.7,0.5,1.05,3.8,4.2,3.1,
Sphaeroderus_stenostomus,f,1,819691,8.4,6.2,3.3,4.4,3.5,2.05,1.4,7.1,0.55,1.05,3.9,4.4,3.2,
Sphaeroderus_stenostomus,f,2,819688,7.95,5.6,3,3.8,3.3,1.9,1.3,6.9,0.55,1,3.8,4,3,
Sphaeroderus_stenostomus,f,3,819685,8.3,6.25,3.2,4.2,3.6,2.1,1.4,7.3,0.55,1,3.8,4.25,3.2,
Synuchus_impunctatus,f,1,819696,7,4.5,2.9,3,2.7,2,1.2,5,0.6,1.3,3,3.1,2.7,
Trichotichnus_autumnalis,f,1,819664,4.5,3.1,1.6,2.8,2.2,1.6,1.2,2.3,0.4,0.8,1.9,1.2,0.9,
Trichotichnus_autumnalis,f,2,819661,4.5,3.5,1.8,1.7,2.4,1.6,1.1,2.7,0.4,0.7,1.7,1.8,1.1,
