fid,InputID,TargetID,Distance,Proximity
1,41,42,65.67132119,1
2,41,43,147.1731035,1
3,41,44,240.9213763,0
4,41,45,161.9062592,1
5,41,46,134.9619088,1
6,41,47,168.9275872,1
7,41,48,217.9640317,0
8,41,49,253.299448,0
9,41,50,253.5994891,0
10,41,51,255.3987721,0
11,41,52,274.4712352,0
12,41,53,312.8323336,0
13,41,54,362.0479671,0
14,41,55,272.5662729,0
15,41,56,237.5092577,0
16,41,57,394.7159144,0
17,41,58,432.4469184,0
18,41,59,366.3639282,0
19,41,60,348.9761784,0
20,41,61,479.3203869,0
21,41,62,515.730266,0
22,41,63,461.5597816,0
23,41,64,456.2225538,0
24,42,41,65.67132119,1
25,42,43,81.79453361,1
26,42,44,175.2578546,1
27,42,45,180.6941882,1
28,42,46,131.1934944,1
29,42,47,135.7895346,1
30,42,48,165.3368029,1
31,42,49,246.5062319,0
32,42,50,262.2594616,0
33,42,51,238.3407761,0
34,42,52,239.1193976,0
35,42,53,252.8590664,0
36,42,54,298.5376578,0
37,42,55,216.1789183,0
38,42,56,188.7217948,1
39,42,57,341.000284,0
40,42,58,374.1788389,0
41,42,59,317.6399271,0
42,42,60,313.0830387,0
43,42,61,430.968484,0
44,42,62,462.3426162,0
45,42,63,417.9154686,0
46,42,64,422.0948936,0
47,43,41,147.1731035,1
48,43,42,81.79453361,1
49,43,44,94.3647806,1
50,43,45,222.0113503,0
51,43,46,159.1466953,1
52,43,47,123.7914268,1
53,43,48,109.9798431,1
54,43,49,251.9750347,0
55,43,50,284.7310069,0
56,43,51,231.3679927,0
57,43,52,205.727856,0
58,43,53,190.8088936,1
59,43,54,225.9174008,0
60,43,55,165.1379114,1
61,43,56,157.6662711,1
62,43,57,289.5407765,0
63,43,58,312.7213494,0
64,43,59,276.5129107,0
65,43,60,293.9158609,0
66,43,61,386.9465886,0
67,43,62,408.8312367,0
68,43,63,382.134488,0
69,43,64,401.109735,0
70,44,41,240.9213763,0
71,44,42,175.2578546,1
72,44,43,94.3647806,1
73,44,45,301.708386,0
74,44,46,236.5224862,0
75,44,47,181.3961612,1
76,44,48,122.5525693,1
77,44,49,303.9209652,0
78,44,50,348.3055319,0
79,44,51,273.9706184,0
80,44,52,222.6999961,0
81,44,53,127.9085984,1
82,44,54,141.1818734,1
83,44,55,127.3075037,1
84,44,56,152.464541,1
85,44,57,233.2171028,0
86,44,58,240.8247679,0
87,44,59,235.8746489,0
88,44,60,280.3277708,0
89,44,61,335.3509326,0
90,44,62,344.1711017,0
91,44,63,341.3679731,0
92,44,64,377.8562132,0
93,45,41,161.9062592,1
94,45,42,180.6941882,1
95,45,43,222.0113503,0
96,45,44,301.708386,0
97,45,46,65.22861422,1
98,45,47,130.0529878,1
